,Room
233,"Time to play a round of 'What Is Dan Watching Tonight': Amy, The Forbidden Room, The Pearl Button, The Russian Woodpecker or Taxi Tehran?"
234,"@Cinemartyn @iFlicks + The Club, Neon Bull, Evolution, Son of Saul (obvz) and Room."
235,"Room: Lenny Abrahamson brings his A game to this oddly uplifting, sensorial abduction drama. This year's dark horse come silly season?"
236,Tonight's film: Lenny Abrahamson's Room.
237,@PatrickJGamble @BRNicholson Green Room (midway point)...
238,The Room to win the Oscars.
239,"Serious, though, Love 3D is Terry Richardson's The Room."
240,"The Blue Room: TV-style crime drama based on Georges Simenon, not bad but not what you'd expect in Un Certain Regard PJ #Cannes2014"
241,RT @ARRAYNow: #RollCall Who's in the Room #ArraySoiree @ChazEbert https://t.co/eZ8jYth4TA
242,"RT @ChazEbert: @BWDR Bright Wall/Dark Room's Jan 2016 issue, best of articles including #ExMachina: https://t.co/rtnsQqxYJ1 https://t.co/Iy…"
243,RT @ChazEbert: @BrieLarson vividly tells @Brian_Tallerico of prep for her amazing perf in #Room. https://t.co/sMJXUlMa2f https://t.co/NUWx8…
244,RT @ChazEbert: Read @SusanWloszczyna's 3 1/2 star review of #Room  w/ @BrieLarson and Jacob Tremblay: http://t.co/sommm4YAKx http://t.co/2f…
245,"RT @ChazEbert: Over 40 movie reviews from #TIFF15 including #Room, #BlackMass, #BornToBeBlue, etc: http://t.co/sRjpZe0kkk http://t.co/8D5Do…"
246,RT @ChazEbert: @BrieLarson won #Imdb.com Starmeter award at #TIFF15 w Col Needham &amp; @LennyAbrahamson director of #Room http://t.co/WWp3iDcN…
247,"RT @IMDb: Congratulations, Brie! #Room star @brielarson receives #IMDb's 2015 STARmeter Award #TIFF http://t.co/T9FjwEhwYf http://t.co/MFDE…"
248,RT @ChazEbert: Amazing @BrieLarson and @jacobtremblay01 in @lennyabrahamson's #Room #TellurideFilmFestival: http://t.co/tHuh6X9X67 http://t…
249,"RT @ChazEbert: Use #diversity if you have questions for our panel at SXSW @sxsw this morning. #Diversity panel in Convention Center, Room 1…"
250,A tactile puzzle of ingenious construction: @stuarthoughton on 4★ #TheRoom3 @Fireproof_Games https://t.co/gUiWMGOy70 https://t.co/23x5BEhIlU
251,#Sixofthebest #Film: new @theartsdesk top half-dozen ★★★★★ @RevenantMovie &amp; @RoomTheMovie https://t.co/AUr6qh6yYs https://t.co/G45HYLyXMX
252,"Estrangement, loss &amp; rootlessness from @TindersticksUK on #TheWaitingRoom https://t.co/1x0M43ghqo https://t.co/wkZ6ZJNLiS"
253,Make room for @RoomTheMovie! Matt Wolf hails Lenny Abrahamson's #Oscar contender https://t.co/q9pV4NzxYE https://t.co/cQov21uVrk
254,"RT @Graham_Fuller: Wonderful words with @GuyMaddin and Evan Johnson about ""Seances"" and ""The Forbidden Room."" https://t.co/0JN9nLsSME"
255,"@ZeitchikLAT Yeah, I was on the brink of dropping Room, but think there might just be enough passion votes for it."
256,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
257,"BEST ACTRESS
Cate Blanchett, Carol
Brie Larson, Room
Charlotte Rampling, 45 Years
Saoirse Ronan, Brooklyn
Alicia Vikander, The Danish Girl"
258,"BEST SUPPORTING ACTRESS
Joan Allen, Room
Rooney Mara, Carol
Alicia Vikander, Ex Machina
Julie Walters, Brooklyn
Kate Winslet, Steve Jobs"
259,"BEST ADAPTED SCREENPLAY
Anomalisa
The Big Short
Brooklyn
Carol  
Room"
260,@CasparSalmon @SiRenshaw I retract my earlier statement. I want to know what Cliff Richard made of Room.
261,"@kristapley Yeah, I'm quite surprised Room missed. Design shifts and spatial relationships are so integral to story there."
262,"@nathanielr Room's eligibility feels more tenuous, unless they define ""American"" as ""North American""."
263,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
264,"@mike_hogan Not voting for a film doesn't equal turning your nose up at it! I like Room a lot but there wasn't, uh, room for it in my top 5."
265,"Kind of funny thinking of all those people, because of the Oscar nomination, naively going to see #Room expecting a good movie."
266,RT @DeaFou: @MickLaSalle Oops. Clearly I wasn't paying attention.  I guess in need to see Room.
267,#Room Locked-in mom and kid not the key to viewer enjoyment https://t.co/okWJUYcAHw via @sfchronicle
268,"Right, so how are we meant to be watching the Globes? Outside US? Anyone? Room of 7 in London who will thank you heartily."
269,A Room With a View Blu-ray @Criterion http://t.co/jwZ6b6Jvkx http://t.co/GcSvOwIDci
270,'War Room' doc wins Legacy Award: Cinema Eye taps Bill Clinton feature for honor http://t.co/T9Dag22z
271,"Smith, Winstone visit 'Powder Room': Film News: 
            M.J. Delane will make helming debut on pic http://t.co/6rcOlOEu"
272,"Wind Dancer finds 'Room': Film News: 
            Will finance, produce pic with Gilbert Films, Anonymous Content http://t.co/zf83g3kh"
273,"Look who's talking: Film News: 
            'Sessions' preems at Dolby 88 Screening Room in Gotham http://t.co/1RrF5paa"
274,RT @jwoodfilm: Room @TIFF_NET shows what an incredibly versatile director Lenny Abrahamson is.
275,"my faves at #TIFF15 Room, High Rise, Land of Mine, Brooklyn, Sunset Song"
276,"Room gave me goosebumps. Brie Larson, Joan Allen and young Jacob Tremblay were all just perfect. #TIFF15"
277,"Shag, Marry, Kill: the international posters for Room edition https://t.co/2vmD8xIESB"
278,Brie Larson's Room follow-up is a comedy musical about genetically modified rice btw https://t.co/9BkLcXVm8n
279,"I am torn between being super happy Brie Larson won for Room and a seething hatred for this ""Alex"" guy she thanked in her speech."
280,@CarterNixon Brie Larson is a powerhouse. Short Term 12 and Room would be career best performances from anybody.
281,Finally got my Green Room review up. It in no way does justice to how awesome the movie is: http://t.co/Bx5BaXAAb6 http://t.co/DlNtGUVCaa
282,Got halfway through my Green Room review. Will knock it out tomorrow between movies. Preview: it's super badass.
283,"@tenlonsfort Green Room, Anomolisa, The Devil's Candy and Victoria stand out. Seeing Too Late tomorrow, which is supposed to be crazy good"
284,".@saulnier_jeremy just promised 50,000 screens for Green Room, so hold him to that number."
285,"Yep, Green Room is legit. Crazy violent Assault on Precinct 13 riff. So totally up my alley."
286,Seated for my most anticipated movie @fantasticfest: Green Room. Bring it!
287,"@DrewAtHitFix I'm missing the first couple of days, which means I miss showing 1 of 2 of Green Room. Final showing is against Kurt Russell"
288,"Oh no, I have to choose between seeing Bone Tomahawk or Green Room at Fantastic Fest. Excuse me while I go hit something."
289,"Film Friday: https://t.co/QohzUgbZCK  Hot trailers: #GreenRoom (red band) #Demolition , #TheWitchMovie , #MilesAhead, #MeBeforeYou"
290,"Oscar best pic nominees: The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight"
291,"#GoldenGlobes noms for best picture-drama: Carol, Mad Max: Fury Road, The Revenant, Room, Spotlight"
292,"Room [77] http://t.co/Fpv0CwFisF RP: ""Its soulful mother/son narrative is one of the most touching dynamics you’ll see in theaters this yr."
293,Weekend Box Office: (1) The Perfect Guy $26.7mil (2) The Visit $25.7 (3) War Room $7.4 (4) A Walk in the Woods $4.6 (5) Mission Impos $4.2
294,Fri Box Office: (1) The Perfect Guy $9.95mil (2) The Visit $9.2 (3) War Room $2.2 (4) Walk in the Woods $1.5 (5) Straight Outta Compton $1.2
295,"Room [78] http://t.co/Fpv0CwFisF RP: ""Its soulful mother/son narrative is 1 of the most touching dynamics you’ll see in theaters this year."""
296,@joafrcaetano Already done:  Room: http://t.co/Fpv0CwFisF  Suffragette: http://t.co/2vYuHUCYY9
297,Weekend Box Office: (1) War Room $9.4mil (2) Straight Outta Compton $8.9 (3) A Walk in the Woods $8.4 (4) Mission: Impossible $7.2
298,Friday Box Office: (1) The Transporter Refueled $2.4mil (2) War Room $2.3 (3) Straight Outta Compton $2.2 (4) A Walk in the Woods $2.2
299,Weekend Box Office: (1) Straight Outta Compton $13.2mil [$134m total] (2) War Room $11.0 (3) Mission: Impossible $8.3 (4) No Escape $8.3
300,"War Room [25] http://t.co/drG7q6n2hJ LA Times: ""A mighty long-winded and wincingly overwrought domestic drama."""
301,Friday Box Office: (1) War Room $3.9mil (2) Straight Outta Compton $3.8 (3) No Escape $2.4 (4) Mission: Impossible $2.2 (5) Sinister 2 $1.4
302,"The Room auteur Tommy Wiseau returns with Neighbors, his first alleged sitcom, late this year; here's a new trailer: http://t.co/84hENeaaPB"
303,"Picture: Big Short, Bridge of Spies, Brooklyn (nice!), Mad Max Fury Road (wooooo), The Martian, Revenant, Room, Spotlight. #OscarNoms"
304,"Director: Big Short, Mad Max, Revenant, Room, Spotlight. Big surprises there! #OscarNoms"
305,"Adapted screenplay: Big Short, Brooklyn, Carol, Martian, Room. #OscarNoms C'mon Carol!!!"
306,I can definitely get on board with these nominees. Room! The Revenant! Ex Machina! Winter on Fire! The Big Short!
307,"Room is masterful, confirms @lennyabrahamson as one of film's finest. Jacob Tremblay gives the best child performance I've seen. #tiff15"
308,"Green Room is a riot. Stylish, brutal and wickedly funny. Glad to catch up with it. #tiff40"
309,Anton Yelchin talks Green Room and Star Trek 3 with me at @Deadline's #Cannes2015 studio. http://t.co/kY7Edn8LZX http://t.co/JWkKXRNuGC
310,Harold Pinter publisher denies Wooster Group right to have their latest production of “The Room” reviewed. https://t.co/wTyZhFw6Ms
311,"Profile of the independent film distributor A24, the company behind Spring Breakers and Room. http://t.co/tnGsBz7zP4"
312,"And, 2, Melissa Carroll asks, Is there Room for Little Minnie at the Movies? Via @the_rumpus. http://t.co/SDhs0LQX3o"
313,"RT @caityweaver: Everyone's making SUCH a big deal out of Brie Larson's scary life in ""Room."" Looks like a pretty cool room to me! https://…"
314,Best Actress in a Motion Picture Drama: Brie Larson for Room ---&gt; https://t.co/RiU9RQPcQm  #GoldenGlobes
315,WATCH: Making The World of #RoomMovie ---&gt; https://t.co/4LhznVZCJl https://t.co/9u5xSAAURt
316,#Room is Certified Fresh at 94% ---&gt; http://t.co/LK0dLJbv98 http://t.co/IXq8Bdi2OY
317,VIDEO: @BrieLarson On Her Latest Film #Room ---&gt; http://t.co/HeTH1mOp0Q http://t.co/sDIifiJAXG
318,#Room is currently Fresh at 94% with 52 reviews ---&gt; http://t.co/XkkPPhzSTs    🍅 #Tomatometer @ElementPictures
319,#Room is currently Fresh at 95% with 35 reviews ---&gt; http://t.co/xARK4U98AQ   🍅 #Tomatometer @ElementPictures
320,#Room is currently Fresh at 97% with 33 reviews ---&gt; http://t.co/woUwWfwnXF  🍅 #Tomatometer @ElementPictures
321,#Room is currently Fresh at 97% with 31 reviews ---&gt; http://t.co/c37MyVtEe3 🍅 #Tomatometer @ElementPictures
322,#TheForbiddenRoom is currently Fresh at 96% with 26 reviews ---&gt; http://t.co/wf0MFwHMIO    🍅#Tomatometer
323,#TheForbiddenRoom is currently Fresh at 95% with 21 reviews ---&gt; http://t.co/95q0cAWjj1   🍅#Tomatometer
324,#TheForbiddenRoom is currently Fresh at 94% with 17 reviews ---&gt; http://t.co/rkr4I4dEgf  🍅#Tomatometer
325,#TheKeepingRoom is currently Fresh at 67% with 30 reviews ---&gt; http://t.co/w7gf0ahrQ7 🍅#Tomatometer @drafthousefilms @HaileeSteinfeld
326,Here you go... Very pleased for #RoomMovie plus Deakins' superb lensing on #Sicario &amp; majestic Rampling in #45Years. https://t.co/Z2iDaq9FIK
327,"In the Green Room at Sky News, enjoying a spectacular collection of fridge magnets. http://t.co/RKDd0HzmP4"
328,Room writer Emma Donoghue: ‘I felt like a tourist at the Golden Globes’ https://t.co/Zytp2m2I4j
329,The smartest kid in the Room: everything you need to know about Jacob Tremblay https://t.co/VeqGcUj6tp
330,How Room's Emma Donoghue turned her dark bestseller into an Oscar contender https://t.co/ZTYoMNVyg2
331,Brie Larson: 'Room was exhausting to shoot' https://t.co/D17vLDlYNo
332,The Forbidden Room review: 'a mind-melting opus' https://t.co/39CDqcyRn2
333,A quick bump for our review of Room https://t.co/0IcNIgfWus
334,"#GreenRoom: a genuinely taut, fresh thriller. https://t.co/SE96PlcehW"
335,"RT @A24: Let the shit show begin... Check out the head-banging new red band for @GreenRoomMovie! 🎸🔪
https://t.co/mDIDqzxkt6"
336,"@Craig_Mack Oh, you mean you lived what happened in Green Room. Yikes. That's awful."
337,"@Like_Whoa @Craig_Mack (He wrote C2, not Green Room.) ;o)"
338,RT @dordotson: .@GreenRoomMovie was spectacular. And the Q&amp;A was uniquely remarkable - thoughtful and honest answers even to meh questions.…
339,Thanks. You'll dig it. #GreenRoom https://t.co/7NSYr95RFE
340,"My review of Green Room, which is playing #Sundance this week. (h/t @fantasticfest, via @nerdist)

https://t.co/WzA3S9u6aG"
341,"When Sundance takes a film that has already played several festivals, that's usually a very good sign. (cough) Green Room (uncough) Sorry."
342,"Green Room is a ""punk rockers vs. white supremacists"" thriller that feels like it fell out of 1975. From the director of Blue Ruin. So good."
343,Brie Larson wins actress for Room #CriticsChoice
344,RT @latimesmovies: Oscars 2016: Brie Larson rides a wave of acclaim with a lead actress nomination for 'Room' https://t.co/gYjKA2ILkE
345,RT @latimesmovies: Oscars 2016: Three major nominees had to step aside to make 'Room' for this one https://t.co/58T3mg23WZ
346,"Brendan Gleeson won the British Independent Film Award for supporting actor for ""Suffragette"" and ""Room"" won international film."
347,RT @saulnier_jeremy: Everyone! Please follow @GreenRoomMovie. I promise this is going to be a fun week.
348,"RT @saulnier_jeremy: Thank you Salt Lake City for kicking off #sundance16 in raucous style with @GreenRoomMovie!!! 
Super fun Q&amp;A, y'all."
349,RT @Leigh_Singer: cult maestro @michaeljblyth's #LFF horror picks incl. the terrific @GreenRoomMovie w/ a scary-ass Patrick Stewart... http…
350,"My thoughts on High-Rise, Room, The Martian and other @TIFF_NET goodies… http://t.co/Qzzsu6yEJu via @FT"
351,"Everyone here going nuts for Lenny Abrahamson's Room, powerful and beautifully spare. #TIFF2015"
352,"Yep, Carol and Green Room: http://t.co/wKRSdj7awA"
353,@saulnier_jeremy's Green Room is a full-throttle thrill ride: a violent horror siege with macabre laughs. Be excited. #Cannes2015
354,Room's child star Jacob Tremblay wins Critics’ Choice award – video https://t.co/t1thN3xKGw
355,Room review – to see the world within four walls https://t.co/SsYdv3fExi
356,"The Guardian film show: The Revenant, Room and Creed – Audio reviews https://t.co/6zYYAF4fDc"
357,"The Guardian film show: The Revenant, Room and Creed – video reviews https://t.co/oGuTLhf9pH"
358,Room – video review https://t.co/yrZtko29WL
359,Emma Donoghue on how she wrote the screenplay for Room https://t.co/97V6AEAWyi
360,Room review – Brie Larson shines in a dark dungeon https://t.co/JdbUjD7HwV
361,Room director Lenny Abrahamson: 'I find kids' optimism incredibly moving' – video interview https://t.co/LnZjx0dRzU
362,Room: an uplifting movie about an agonising subject https://t.co/opdfc4aN3F
363,"Room author Emma Donoghue: ‘The situation is horrible, but the story is not’ https://t.co/1SQOP8rA01"
364,The Forbidden Room review – fearsome journey without a compass https://t.co/iu25h2A7XC
365,"The Guardian film show: By the Sea, Hector, The Forbidden Room and Sisters – audio reviews https://t.co/DJsBD2BZWx"
366,"The Guardian film show: By the Sea, Hector, The Forbidden Room and Sisters – video reviews https://t.co/IhnBYdheUo"
367,The Forbidden Room review – early cinema cheese-dream with sparkle https://t.co/1h82R4qDYv
368,The Forbidden Room - video review https://t.co/MmAFwFNEi0
369,"Studio apartment: Room's tiny, innovative film set goes on display https://t.co/ZDkdlHSaHW"
370,"The Room, 'Citizen Kane' of bad movies, could be remade in 3D, says original director https://t.co/i5seXcD8dP"
371,James Franco set to direct and star in film about 'worst movie ever' The Room https://t.co/xAgsEzePIa
372,Seth Rogen surveying James Franco's behind-the-scenes story of The Room http://t.co/LB3moktxat
373,Room wins Toronto film festival's People's Choice Award http://t.co/b28s6AQKNU
374,"Toronto 2015: Room adaptation doesn't directly reference Fritzl case, say film-makers http://t.co/UKIU93EJio"
375,War Room fights its way to top of US box office http://t.co/f63ytEIte9
376,Room premieres at Telluride: what did the audience think? http://t.co/hLc6akYdmq
377,Room review: Brie Larson and Jacob Tremblay escape confining adaptation http://t.co/5uNmcWaX9Y
378,Onward Christian soldiers: War Room triumphs at the box office http://t.co/Eri11HrG5j
379,War Room review: shut up and pray he quits http://t.co/iL6RFXjrSz
380,"RT @brielarson: Thank you @TheAcademy for recognizing @RoomTheMovie, @EDonoghueWriter, @lennyabrahamson and Me! We are overjoyed!!!! https:…"
381,So excited my new site is up. On it I had a lovely chat with @lennyabrahamson about @RoomTheMovie . Go explore. https://t.co/v40uhTJCaC
382,MASSIVE well done @lennyabrahamson @brielarson @RoomTheMovie x x x x
383,@lennyabrahamson @goss_ie @RoomTheMovie good luck. Xxxx
384,"RT @Film4: Competition time! Win tickets to see the BAFTA-nominated, Film4-backed drama Room: https://t.co/pdT4rUkEji https://t.co/n0VSgONg…"
385,RT @hivecollect: Join #RoomMovie director @lennyabrahamson live right now on @HuffPostLive! https://t.co/nWu3YknSL8
386,RT @room_movie: Lenny Abrahamson &amp; Jacob Tremblay charm @edibow at the British Independent Film Awards. #Room #MBIFA https://t.co/zGx3EA38Qg
387,RT @TypingRoom: 👌 Chef @leewestcott was on @bbcone's Saturday Kitchen with @edibow and Kenny Atkinson yesterday! In… https://t.co/3N1hfpdtLl
388,RT @inekedaans: Happy 10th The Back Room @editorsofficial! Saw a couple of TBR tshirts in town yesterday. ✌🏼️. Also: feeling old. X
389,"10th ann of release of The Back Room today from @editorsofficial . excited about new album, one of my favs from TBR http://t.co/SJDaXHT4Ym"
390,"RT @Pulsar_Social: We're excited for @SupaAcademy's Supa Market today. Meet the team in the Brain Room, 10-2pm http://t.co/wc2dGrhfDz http:…"
391,"Room beats Carol, Force Majeure, Girlhood and Son of Saul."
392,Best international independent film goes to Room. Awards momentum train passing through... #BIFAs
393,"Edinburgh 2015: Stewart Lee, A Room with a Stew, Assembly Rooms, review | via @telegraph http://t.co/DMsCnPBkdJ"
394,RT @SAGawards: And @BrieLarson embraces with her inspiration (@JacobTremblay) @RoomTheMovie #sagawards🎭 https://t.co/MkHywsWtgY
395,.@BrieLarson wins the #SAGAward for Female Actor in a Leading Role! @RoomTheMovie #RoomMovie #sagawards https://t.co/IgGMRtvsfN
396,"'Brooklyn,' 'Room' add to #Oscar nominations haul with Canadian Screen Awards Nods https://t.co/3hJQIy8azD https://t.co/AaQnfaSrAf"
397,RT @CriticsChoice: Congrats to Best Actress @brielarson! She really knows how to work a #Room. #CriticsChoice https://t.co/TAMBfLx86O
398,Teaser trailer and poster for Jeremy Saulnier’s #GreenRoom: https://t.co/RyP7VTOklQ https://t.co/Nxrq08sVco
399,RT @A24: Straight Outta Room #NBRAwards #RoomMovie https://t.co/0Z0CEcYPnv
400,"#Room's @JacobTremblay talks about working with #GoldenGlobe-winner, @brielarson
https://t.co/qp9CJs2QWv"
401,The #GoldenGlobe goes to... Brie Larson for #Room https://t.co/sqP84XGf02 #IMDbGlobes https://t.co/kst8rWu8UH
402,"Watch this new trailer for the dark comedy, 'Bad Roomies': https://t.co/MlDLt8cByf https://t.co/eLWlScuIdn"
403,"WATCH: Brie Larson, Joan Allen and director Lenny Abrahamson discuss working together during the filming of #Room.
https://t.co/m7ukZzk90j"
404,"Watch this #exclusive clip for @RoomTheMovie starring @brielarson. #RoomMovie
https://t.co/PuUfikmilu"
405,"#ICYMI: @lennyabrahamson joined us for a chat about @RoomTheMovie. If you missed it, read the full chat here: https://t.co/ch7Frz4in4"
406,Thank you @lennyabrahamson for chatting w/ us &amp; to everyone for your Q's. Check out @RoomTheMovie in theaters now!
407,RT @lennyabrahamson: .@IMDb @TylerCobaugh @RoomTheMovie took a lot of thinking by us all to make the structure work. Now it feels like one …
408,RT @lennyabrahamson: .@IMDb @TylerCobaugh @RoomTheMovie The story breaks down into two halves with a short very exciting middle section. Th…
409,What was the hardest obstacle shooting 'Room'? @TylerCobaugh @lennyabrahamson @IMDb @RoomTheMovie #IMDbAskLenny
410,"RT @lennyabrahamson: .@IMDb @kjs_22 @RoomTheMovie If you haven't read the book, then wait until after. Reading it immediately before the fi…"
411,Read the book first or see the movie? The struggle is real @kjs_22 @IMDb @lennyabrahamson @RoomTheMovie #IMDbAskLenny
412,RT @lennyabrahamson: .@IMDb @troy_long @RoomTheMovie he's on twitter if you want to follow him @talkingwounded
413,RT @lennyabrahamson: .@IMDb @troy_long @RoomTheMovie the amazing score is by the amazing Stephen Rennicks who also did FRANK (songs and sou…
414,I loved the score. Could you tell me who did it? I can't find it anywhere. @troy_long  #IMDbAskLenny  @IMDb @lennyabrahamson @RoomTheMovie
415,RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie I can see her on a wagon train heading west in the middle of the 19th century! So ma…
416,"If u could direct another film w/ Brie, what genre would you like it to be? @toreehcakes  #IMDbAskLenny @IMDb @lennyabrahamson @RoomTheMovie"
417,RT @lennyabrahamson: .@IMDb @troy_long @RoomTheMovie 70s US cinema. Felt it related to our style in the second half of the story. Watched T…
418,RT @lennyabrahamson: .@IMDb @troy_long @RoomTheMovie .. Butterfly but deciding that was not an approach I would take to Jack's POV. Also wa…
419,RT @lennyabrahamson: .@IMDb @troy_long @RoomTheMovie I watched a lot with Danny Cohen to define aspects of the cinematography. I remember w…
420,Did you watch any films in preparation or inspiration for this film? @troy_long  #IMDbAskLenny @IMDb @lennyabrahamson @RoomTheMovie
421,RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie by the time of shooting I felt completely inside the story and the world - decisions…
422,"RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie it was all very organic. I worked with Emma, the writer over a year and a half on th…"
423,What was your approach going into this film? @toreehcakes #IMDbAskLenny  @IMDb @lennyabrahamson @RoomTheMovie
424,"RT @lennyabrahamson: .@IMDb @AnnaMateja @RoomTheMovie It always an instinctive reaction that draws me to a project, very hard to generalise…"
425,What do you look for in a script? @AnnaMateja  #IMDbAskLenny @IMDb @lennyabrahamson @RoomTheMovie
426,RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie ... I felt it would me my love letter to him.
427,"RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie My little boy, Max, was 4 when I read the novel and it moved me so much. I could see…"
428,Why was it important for you to create this film and tell this story? @toreehcakes #IMDbAskLenny @IMDb @lennyabrahamson @RoomTheMovie
429,"RT @lennyabrahamson: .@IMDb @toreehcakes @RoomTheMovie probably the whole escape sequence, which was really challenging to shoot, but so me…"
430,What was one of your favorite scenes to bring to life? @toreehcakes #IMDbAskLenny @IMDb @lennyabrahamson @RoomTheMovie
431,Hi everyone! @lennyabrahamson is here to answer your questions about @RoomTheMovie! Send your Q’s to #IMDbAskLenny https://t.co/8rCi1UcrU4
432,"Gotham Awards nominations boost #Oscar frontrunners 'Spotlight,' 'Carol' &amp; 'Room' https://t.co/p9mLSkYolj"
433,Join us for a live chat w/ director @LennyAbrahamson 10/22 for his new film @RoomTheMovie! Send Q's to #IMDbAskLenny https://t.co/yiO2OUq95Z
434,"RT @boxofficemojo: 'Goosebumps' On Top, 'Peak' Flops and A24's 'Room' Strong in Limited Showing http://t.co/1aiZHxdeV7 http://t.co/8KQ2QMQ0…"
435,"Brie Larson, Jacob Tremblay, Lenny Abrahamson, and Emma Donoghue discuss the making of @RoomTheMovie.
https://t.co/kRcZhnbwqw"
436,Thanks @brielarson for chatting w/ us &amp; to everyone for your Q's. Check out the full @RoomTheMovie chat on #IMDb. http://t.co/QqGXOxW5Oq
437,"""How did you know you had to play Ma?"" #IMDbAskBrie #Room @brielarson https://t.co/DH55QwTNn1"
438,Join us for a live chat w/ @brielarson tomorrow for @RoomTheMovie! Send your Q's to #IMDbAskBrie http://t.co/fMm45bh4sE
439,"RT @FastCompany: The story behind ""The Keeping Room""—and making a feminist western: http://t.co/kUAzNO5Ric http://t.co/1rmvv8CNWz"
440,"#Oscar Predictions: After Fall Fests, ‘Spotlight,’ ‘Room’ Soar http://t.co/Sn7IzOYImK http://t.co/Og6EumZGQ8"
441,.@RoomTheMovie wins Toronto Film Festival’s People’s Choice Award http://t.co/kVgGfCCYO1 http://t.co/5Lnzi58y6m
442,.@RoomTheMovie star @brielarson received #IMDb's 2015 STARmeter award w @lennyabrahamson #TIFF http://t.co/TG4bwv68ld http://t.co/j66I0gWTM2
443,"WATCH: The first UK trailer for award-season frontrunner, Room. https://t.co/kwVLwrJIWt https://t.co/fpMMEvsmhh"
444,"RT @Film4Insider: Very excited to announce that Room, The Lobster &amp; Youth are screening at @TIFF_net in Sept! http://t.co/1x4FsCtLAE https:…"
445,"#SAGAwards: Brie Larson wins lead actress in a film for ""Room"" https://t.co/UKKTj8I0yc https://t.co/c0oF7Wxpdo"
446,#Room's breakout star Jacob Tremblay will guest star on @LastManFOX https://t.co/2qvKWRw235 https://t.co/4nHUeTnhTs
447,"Brie Larson wins best actress for ""Room"" #CriticsChoice https://t.co/OMahcsashc https://t.co/5NTBal0xo0"
448,"Correction: Jacob Tremblay (""Room"") wins for Young Actor/Actress, not Supporting Actor #CriticsChoice https://t.co/OMahcsashc"
449,"Jacob Tremblay, at 9 years-old, wins supporting actor for ""Room""  #CriticsChoice https://t.co/OMahcrSRpE https://t.co/lZfnLq2Ltz"
450,'The Revenant' and 'Room's' #OscarNoms could lead to box office boosts https://t.co/IENkID4H4q https://t.co/kssrZOVRR5
451,"Oscars: 'The Revenant,' 'Room' could see biggest box office gains https://t.co/qParPqdBd5 https://t.co/jENaMFq2Aj"
452,"#OacarNoms: Best picture (continued)
“The Martian”
“The Revenant”
“Room”
“Spotlight”
https://t.co/m3bX7oI1Ni https://t.co/REsUHg7Mu1"
453,"Best Picture
The Big Short
Bridge of Spies
Brooklyn
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight 
#OscarNoms"
454,"Best Directing:
The Big Short
Mad Max: Fury Road
The Revenant
Room
Spotlight 
#OscarNoms"
455,"Adapted Screenplay:
The Big Short
Brooklyn
Carol
The Martian
Room 
#OscarNoms"
456,Wooster Group's controversial staging of Pinter's 1957 debut play 'The Room': Theater Review https://t.co/LaXyzxHcK1 https://t.co/6twRnp4KiK
457,Wooster Group's controversial production of Harold Pinter's 'The Room': Theater Review https://t.co/Em7YC6ymef https://t.co/cqaDk9ILUs
458,RT @brynsandberg: Brie Larsen says backstage that she gained 15 lbs of muscle for her role in #Room. #SAGAwards2016
459,#SAGAwards: Watch @BrieLarson accept Best Actress in a Motion Picture for 'Room' https://t.co/GI8bbfy9dP https://t.co/DswyfGUZoj
460,RT @PamelaDayM: #SAGAwards box office: Winner Brie Larson's @RoomTheMovie has doubled its gross since being nominated for Oscar best pictur…
461,#SAGAwards: Watch 'Room' stars Brie Larson and Jacob Tremblay present https://t.co/L5rGLS3gER https://t.co/tLFA5acSjh
462,'Room' star @BrieLarson is up for Best Actress tonight at the #SAGAwards: THR's interview https://t.co/Zk5ltYURPU https://t.co/fPduqoLR3Q
463,RT @THRGlobal: 'Room' Director Lenny Abrahamson to Be Saluted at Oscar Wilde Awards (Exclusive) https://t.co/EmifD0UUUL https://t.co/5wTMMV…
464,'The World Inside Room' offers 360-degree look inside claustrophobic @RoomTheMovie set https://t.co/VVAUvmVmgN https://t.co/tugI9SYqyn
465,.@RoomTheMovie director @LennyAbrahamson to be saluted at Oscar Wilde Awards (Exclusive) https://t.co/Tc2mXqujSn https://t.co/C0b0HasUbq
466,RT @TheLiveFeed: 'Last Man on Earth': 'Room' Breakout Jacob Tremblay to Play Young Will Forte https://t.co/cxVxmAs8fe https://t.co/GZghbUJ7…
467,'Last Man on Earth': 'Room' Breakout Jacob Tremblay to Play Young Will Forte https://t.co/14UCTYD29T https://t.co/8WwKMqnOyo
