,Big Short
240,"McKay at ""Big Short"" screening: Movie's real-life short-selling heroes got ""rolled over"" by big banks."
241,"Adam McKay at ""Big Short"" screening: He read Lewis' book because Ira Glass recommended it on ""This American Life."""
242,"NY Mag's David Edelstein interviewing filmmakers of ""The Big Short"" at AMC Times Square. In the house: Gosling, Pitt, McKay, et al."
243,"2-time Globe winner Jim Carrey gives Comedy prize to The Martian, not a comedy at all. Big Short suffers a slight setback on road to Oscar."
244,"Should win Golden Globes: Spotlight, Big Short, Schumer, Saoirse Ronan, Damon,Fassbender, Paul Dano, Vikander, George Miller. Which won't?"
245,"RT @dankois: I parachuted into Movie Club to yell abt The Big Short, Charlize, and how bad the A LITTLE LIFE movie is gonna suck https://t.…"
246,"Adam McKay's raucous, innovative The Big Short plays the 2008 financial crisis for laughs, but it's still a tragedy: https://t.co/80rhpKdd4q"
247,Kinda hope The Big Short wins the Oscar now. People will be miffed/outraged and naturally turn to my 2 pieces on it.
248,"Wonder if it's time for The Big Short backlash to begin....Or maybe it goes all the way, who knows."
249,"Meanwhile, The Big Short added 1,000 screens and still tumbled 45 percent from last Friday. Audiences not liking it."
250,Notable &amp; Quotable: Kyle Smith on ‘The Big Short’ https://t.co/XZiZOslvT5 via @WSJ
251,Wonder if @cgasparino agrees with me that film 'The Big Short' is a fiasco (and I loved the book) https://t.co/NqReGlLdIj via @nypost
252,'The Big Short' is way too dumb for anyone but financial illiterates. https://t.co/NqReGlLdIj via @nypost
253,RT @zkouwe: @rkylesmith on The Big Short is nothing short of awesome https://t.co/hMKdWLHn2d
254,"RT @NewsbytesEvan: Must-read: @rkylesmith takes down ""witless"" movie version of Michael Lewis' ""The Big Short"" https://t.co/cl5eB4V5kS"
255,Bad haircuts and mangled facts: movie version of The Big Short hits the screen. https://t.co/HTT3bOwf3L
256,RT @NYPostOpinion: OP-ED/@rkylesmith: 'The Big Short' is a lot of Hollywood bull about the 2008 financial crisis https://t.co/Uejwb19d3s vi…
257,I would be more excited about the movie of The Big Short if only it weren't being directed by the guy who gave us Anchorman 2.
258,"RT @IWCriticwire: Financial-crisis comedy The Big Short is part horror movie, part economics lecture. Reviews: https://t.co/7ASpaEgXqp http…"
