,Revenant
238,"#GoldenGlobes noms for best picture-drama: Carol, Mad Max: Fury Road, The Revenant, Room, Spotlight"
239,"The Revenant [78] https://t.co/PchfFuCsLQ TheWrap: ""Is the relentlessness too much? At 2 1/2 hours, perhaps, but inventiveness abounds."""
240,"Reviews are coming in right now for The Revenant, Alejandro González Iñárritu's western (out 12/25): https://t.co/0b2cTCRLD5"
241,"Watch new trailers for SPECTRE, The Revenant, Burnt, The Assassin and more: http://t.co/FHlHmXMFRy"
242,"Film Friday: New trailers for Joy (David O Russell), The Revenant (Alejandro Iñárritu), Sisters (Fey/Poehler) &amp; more: http://t.co/C34dQM3F49"
243,RT @TimeOutMexico: Checa la #EntrevistaTOM que le hicimos a @LeoDiCaprio sobre su papel en @RevenantMovie https://t.co/a5loEszgfJ https://t…
244,"Picture: Big Short, Bridge of Spies, Brooklyn (nice!), Mad Max Fury Road (wooooo), The Martian, Revenant, Room, Spotlight. #OscarNoms"
245,"Director: Big Short, Mad Max, Revenant, Room, Spotlight. Big surprises there! #OscarNoms"
246,"Production Design: Bridge of Spies, Danish Girl, Mad Max (again!)&lt; Martian, Revenant #OscarNoms"
247,"Editing: Big Short, Mad Max, Revenant, Spotlight, Star Wars. #OscarNoms"
248,"Visual effects: Ex Machina, Fury Road, Martian, Revenant, Star Wars. #OscarNoms"
249,"Supporting actor: Bale, Hardy (Revenant), Ruffalo, Rylance (yay!), Stallone. #OscarNoms"
250,I can definitely get on board with these nominees. Room! The Revenant! Ex Machina! Winter on Fire! The Big Short!
251,"Oh, I think I'm allowed to profess my undying love for The Revenant now. So... I LOVED IT, I LOVED IT, I LOVED IT. And... AGAIN PLEASE."
252,"Here’s a pairing! Michael Mann interviews Alejandro Gonzalez Innaritu about “The Revenant.” Video, 37 minutes. https://t.co/5orC8yIF6d"
253,"RT @barkerrant: Awaiting the inevitable expose on the Revenant shoot. ""It was actually an unseasonably warm winter, and there were space he…"
254,The Bear in #TheRevenant finally won an award ---&gt; https://t.co/8zoY7FfqaU https://t.co/evOPSO4cRi
255,Box Office: Leo Fights His Way Into #1 Spot with #TheRevenant ---&gt; https://t.co/oZYk8ZPiyo https://t.co/WGLgBQaEAn
256,ICYMI: #TheRevenant and #MadMaxFuryRoad Lead #OscarNoms ---&gt; https://t.co/hySdAdr65O https://t.co/OvYxZ8TjXR
257,Best Motion Picture Drama: The Revenant  ---&gt; https://t.co/T4XeRcR6lV #GoldenGlobes
258,Best Actor in a Motion Picture Drama: Leonardo DiCaprio in The Revenant ---&gt; https://t.co/jTwKhYR47d   #GoldenGlobes
259,Best Director: Alejandro González Iñárritu for The Revenant ---&gt; https://t.co/kJBRWqOSht  #GoldenGlobes
260,RT @FoxNewsLive: Will #TheRevenant finally be Leo's key to an Oscar win? | @Fox411 @Matchity @RottenTomatoes https://t.co/KZYxt6rKHl https:…
261,#TheRevenant is Certified Fresh at 81% ---&gt;  https://t.co/GDHT4ScHwl   @RevenantMovie 🍅 #Tomatometer
262,"#TheRevenant Is Certified Fresh, #TheForest Not So Much ---&gt; https://t.co/gujcOF3iRS https://t.co/poyABo5hP8"
263,#TheRevenant is Certified Fresh at 79% ---&gt;  https://t.co/GDHT4SuinT  @RevenantMovie 🍅 #Tomatometer
264,"RT @MariluShow: LOVE HER! Speaking w/ @graedrake from @RottenTomatoes about @thehatefuleight, @RevenantMovie &amp; @theforestisreal! https://t.…"
265,#TheRevenant is Certified Fresh at 81% with 93 reviews ---&gt; https://t.co/PlqJRZ4xMA    🍅 #Tomatometer
266,#TheRevenant is Certified Fresh at 82% with 85 reviews ---&gt; https://t.co/JTADJnadx6   🍅 #Tomatometer
267,#TheRevenant is Certified Fresh at 81% ---&gt;  https://t.co/GDHT4SuinT https://t.co/81A4Wqnbjo
268,#TheRevenant is currently Fresh at 83% with 77 reviews ---&gt; https://t.co/YD8gqLGyI9  🍅 #Tomatometer
269,#TheRevenant is currently Fresh at 84% with 67 reviews ---&gt; https://t.co/YD8gqLoXjz 🍅 #Tomatometer
270,With 36 early reviews in #TheRevenant is currently Fresh at 83% ---&gt; https://t.co/iyc5GqusH6 🍅#Tomatometer
271,@lew420 I know. Check him out in The Revenant - so good!
272,RT @CionaJK: The Revenant blew my mind! An early 2016 must-see &amp; definite award winner. Lucky me working with star @PoulterWill https://t.c…
273,Tom Hardy &amp; @PoulterWill so good in #TheRevenant. DiCaprio will no doubt get the plaudits but supporting cast strengthen &amp; enrich perfectly.
274,Who said it: Revenant cast member or Ernest Shackleton? https://t.co/HjFusiloHI
275,"If The Revenant is so realistic, why don’t we see Leo going to the toilet? https://t.co/Y8QER5enNQ"
276,The Revenant: what was real and what was fake? https://t.co/DWV7LhGoYE
277,The Revenant: what was real and what was fake? https://t.co/dDPmDAnTOJ
278,'Raw bison liver is good to eat': Ray Mears fact-checks The Revenant https://t.co/K4qAHjXAu0
279,'Raw bison liver is good to eat': Ray Mears fact-checks The Revenant https://t.co/DQYQ8jrsbq
280,The terrifying true story behind The Revenant https://t.co/QDhklADxfg https://t.co/CjJT2uPAKW
281,Two minutes with… The Revenant director Alejandro González Iñárritu https://t.co/hLAcfZrCuU
282,RT @robbiereviews: Oscar frontrunner The Revenant is unleashed in UK cinemas tomorrow. Here's my review: https://t.co/gPnj7GGr6B https://t.…
283,"Tom Hardy on Leonardo DiCaprio: ""It's great to be a bravo to an alpha like that."" #RevenantPremiere  https://t.co/dE4AlGapXx"
284,Missed The #RevenantPremiere? You can watch the highlights from our exclusive livestream https://t.co/WVHka0McB6 https://t.co/843bBN3Z6w
285,Tom Hardy being actually genuinely happy about his Oscar nomination. #RevenantPremiere  https://t.co/Y945DEiQLd
286,"Imagine having Leonardo DiCaprio say that he ""aggressively fought"" for you... #RevenantPremiere  https://t.co/uZYCXAmITF via @snappytv"
287,Leo discusses how he prepared for the role at the #RevenantPremiere https://t.co/MHYg6RRXVG
288,Just Leo and Will going in for a quick cuddle at the #RevenantPremiere https://t.co/WVHka0McB6 https://t.co/DbFcfNQLK2
289,Leo is being interviewed NOW #RevenantPremiere https://t.co/WVHka0McB6 https://t.co/Ok172pL8Em
290,Leo's already here. No showbiz lateness for him. Or maybe he's already had enough of being cold. #RevenantPremiere https://t.co/WVHka0McB6
291,Will Poulter has just arrived at the #RevenantPremiere. https://t.co/WVHka0McB6
292,Stars including Leo are arriving at the #'RevenantPremiere! Watch the red carpet live here: https://t.co/WVHka13NsE https://t.co/TGUqDQPTXX
293,RT @HoldenCawffled: https://t.co/mCdBbtUo1y The Revenant London premiere live stream. Would be interesting to hear what Tom thinks about ge…
294,We're keeping our eyes out for your best tweets from the #RevenantPremiere. Watch our exclusive livestream here https://t.co/WVHka0McB6
295,Our live stream of the #RevenantPremiere begins in half an hour! Watch here from 6pm: https://t.co/WVHka13NsE https://t.co/nCCJHUEVA5
296,RT @Becki_Hawkes: At #RevenantPremiere. It's freezing. Couldn't find a bear skin to wear but utilised an old Christmas jumper instead. #mor…
297,"Waiting to meet Leo at the #RevenantPremiere. It's very cold, which feels appropriate. https://t.co/WVHka0McB6"
298,"We're joining Leo and Tom Hardy at the #RevenantPremiere tonight! Watch live from 6pm:
https://t.co/WVHka13NsE https://t.co/Y83h7ZI0gM"
299,Leo DiCaprio and Tom Hardy will be at the #RevenantPremiere tonight! Watch live from 6pm: https://t.co/WVHka13NsE https://t.co/VO06m7gwaf
300,Leo will be celebrating his Oscar nom at the #RevenantPremiere tonight. Watch live here: https://t.co/WVHka0McB6 https://t.co/3cZSGOOawz
301,"UK premiere of #TheRevenant  tomorrow! We'll be livestreaming it from 6pm #RevenantPremiere
https://t.co/WVHka13NsE https://t.co/qi63tEozTt"
302,Join us tomorrow for an EXCLUSIVE live stream of The Revenant UK premiere #RevenantPremiere https://t.co/WVHka13NsE https://t.co/GVZLzf18LW
303,The Revenant premiere: watch Leonardo DiCaprio and Tom Hardy live on the red carpet  https://t.co/WQ4iobFPsP
304,Best served cold: the terrifying true story behind The Revenant https://t.co/PCL9W8VI98
305,The Revenant review: 'Leo's beautiful endurance test' https://t.co/HgLqn2A0uS
306,Is The Revenant too 'brutal' for women? Film blogger ridiculed for sexist tweet https://t.co/l91qhQCWc3
307,Leonardo DiCaprio fights Tom Hardy in The Revenant's new trailer http://t.co/XferJSNo1T
308,The shoot for The Revenant has proven to be an absolute nightmare. Here's why: http://t.co/I8wYZd6HTp http://t.co/NYNOUF60vX
309,Five reasons to be thrilled you weren't on The Revenant shoot http://t.co/I8wYZdojhZ http://t.co/puYacTtgU2
310,"#TheRevenant is a visceral, visually arresting tale of epic proportions https://t.co/QUpVIX3rbT https://t.co/qrAyjJi1ej"
311,"I also don't get why just two of them go on a manhunt when there are soldiers.... Act III of The Revenant is kind of a mess, basically."
312,I'm still confused as to what the hell happened to The Revenant's 3rd act. When dude starts talking about how he misses his wife? Hoo boy.
313,"Jokes aside, The Revenant is a pretty amazing film. It's just so self-important it's easy to poke fun at. It's basically a horror movie."
314,"DiCaprio does more acting in ten minutes of The Wolf of Wall Street than he does in all of The Revenant. But this is ""his year,"" apparently."
315,Bone Tomahawk &gt; The Revenant
316,"Next week I'm going to start my ""The Revenant is a horror film"" campaign. Fair warning."
317,If you watch The Hateful Eight and The Revenant back-to-back you will turn into a rifle.
318,Movie trivia: Everything you see in The Revenant was shot between 5:15pm and 5:28pm. The film took 29 years to shoot.
319,Let's be fair here: The Revenant is The Crow with less face-paint.
320,Part of me wants to put The Revenant on my Best 2015 Horror Films list just so I can deal with the belligerents.
321,The Hateful 8 and The Revenant are both really good but only one of them has Walt Goggins so that's my pick of the weekend.
322,"If you're planning to see The Revenant, find the biggest screen possible. Seriously. 

Also go pee during the trailers."
323,"The lesson I took from The Revenant is ""don't leave people for dead."""
324,"'The Revenant,' 'The Martian' and 'Mad Max: Fury Road' win Art Directors Guild Awards https://t.co/rK32GAxJ4O"
325,"RT @latimes: ""Spotlight,"" ""Big Short"" and ""Revenant"" may be strongest contenders for best picture Oscar https://t.co/ruVaMIHFHt"
326,RT @latimesmovies: 'Kung Fu Panda 3' punches 'The Revenant' from top of box office https://t.co/L52f14V9IC
327,"'The Revenant,' 'Mad Max: Fury Road,' 'Inside Out' among Golden Reel Award nominees https://t.co/AwAJU9eiCF"
328,RT @latimes: Box Office: “Ride Along 2” and “The Revenant” fight it out for the weekend https://t.co/MLESe0Cmnp
329,RT @latimesmovies: Oscars 2016: 'The Big Short's' heart trumps 'The Revenant's' art https://t.co/CAWKUAW7Om
330,RT @latimesmovies: 'The Revenant's' adventures weren't all on-screen https://t.co/MCVonM6rVB
331,RT @latimesmovies: Native American actor Duane Howard overcomes all 'challenges' in his 'Revenant' role https://t.co/O4pSI80bb3
332,RT @HighSierraMan: Dig it. One of the world's greatest crix compares The Revenant to Monte Hellman's Two-Lane Blacktop: https://t.co/hvktyn…
333,Dirty Grandpa cleans up at UK box office as The Revenant still clings to top spot https://t.co/MvYeBIfcBM
334,The Revenant mauls UK box office but Sandra Bullock's brand may be in crisis https://t.co/ftOCjCYB5F
335,The Revenant finally claws its way to No 1 at US box office after epic journey https://t.co/UTKzXxDRIP https://t.co/DSN88rhMOw
336,How historically accurate is The Revenant? https://t.co/ny94nhVPxQ
337,The Revenant attacks Star Wars in rise to top of UK box office https://t.co/9V255wc3SJ
338,Man behind Leonardo DiCaprio's Revenant bear attack revealed https://t.co/haFogaQ0ov
339,Fact-checking The Revenant: DiCaprio was right to play dead for a grizzly bear https://t.co/Fbp1QqBWle
340,The Revenant review – a walk on the wild side https://t.co/EcO951f7KF
341,"The Guardian film show: The Revenant, Room and Creed – Audio reviews https://t.co/6zYYAF4fDc"
342,"The Guardian film show: The Revenant, Room and Creed – video reviews https://t.co/oGuTLhf9pH"
343,The Revenant – video review https://t.co/Pgn0WiyvOc
344,Bookies expect Spotlight to beat The Revenant to best picture Oscar https://t.co/D2sKOmjEo5
345,Oscars 2016: The Revenant deserves to own awards season – less so Mad Max and The Martian | Peter Bradshaw https://t.co/ns3jTxbwBE
346,The Revenant gets 12 Oscar nominations – video https://t.co/hbVc3jCu2d
347,"Oscar nominations 2016: The Revenant leads field, Mad Max in second place https://t.co/ASwx0Q6dIt"
348,The Revenant director Alejandro González Iñárritu: 'So much pain was implanted in that time' – video interview https://t.co/QMyXvj5wa6
349,The Revenant's franchise-free DiCaprio is the ultimate A-list survivor https://t.co/DrCCpNn5M1
350,US box office: Leonardo DiCaprio-led The Revenant challenges Star Wars https://t.co/YZ0cp6PASb
351,Golden Globes 2016: just rewards for The Revenant – and an incredible coup for The Martian https://t.co/vOCjBDkJQc
352,Golden Globes 2016: The Revenant wins top prizes as Gervais skewers the stars https://t.co/BIOlRqmUID
353,The Revenant: what to do when animals attack https://t.co/Ou6o4z5w9z
354,"Alejandro González Iñárritu: 'When you see The Revenant you will say ""Wow""' https://t.co/QZYC8GLAYf"
355,Author of The Revenant source novel banned from talking about film https://t.co/WMiOBF9IIS
356,The Revenant and The Hateful Eight leaked – and awards season is to blame https://t.co/GX9wunZl53
357,The 50 best films of 2015 in the US – No 3: The Revenant https://t.co/3s4GzS7iWz
358,"Oscars 2016: How The Revenant, Creed, Joy and more will factor into the race https://t.co/rkGza54MRj"
359,"The Revenant review – gut-churningly brutal, beautiful storytelling https://t.co/gaLQOiRh82"
360,Leonardo DiCaprio stars as Hugh Glass in The Revenant – video https://t.co/u0ES887wst
361,Studio denies report that Leonardo DiCaprio raped by bear in The Revenant https://t.co/4NBvOQ6Net
362,Veteran film blogger says The Revenant too 'unflinchingly brutal' for women https://t.co/Lua5mtdizR
363,The Revenant: first reactions to DiCaprio thriller suggest Oscar potential https://t.co/Lo30MdWqjC
364,The Revenant trailer: Leonardo DiCaprio and Tom Hardy head-to-head in hardship http://t.co/Kg3WoQ5C0M
365,"@cintalondon @RevenantMovie immersive, powerful, a beautiful piece of art. X"
366,Today is about double Leonard Dicaprio time. @RevenantMovie work. So much I want to ask him about the film.
367,RT @bryce_dessner: Pre-order for @RevenantMovie soundtrack on vinyl is now available and it comes with an instant download of the album htt…
368,"RT @Markgatiss: 'The Revenant'. Epic, brutal, visceral cinema. Loved it."
369,RT @picturehouses: *Just in* The brand new trailer for #TheRevenant starring Leonardo DiCaprio and Tom Hardy: https://t.co/czT48hkgGb
370,@AnneBillson It came about because one of the publicity shots for The Revenant reminded me of this. https://t.co/rUs4dxGO1m
371,Oscar frontrunner The Revenant is unleashed in UK cinemas tomorrow. Here's my review: https://t.co/gPnj7GGr6B https://t.co/GuR2rnqEqK
372,RT @Telegraph: The Revenant review: 'Leo's beautiful endurance test' https://t.co/3i6ifdDXhZ https://t.co/QTBsX6hqi5
373,"The Revenant is a preposterous dick-measuring exercise, but I was really kind of into it: https://t.co/gPnj7GGr6B https://t.co/XXGiBkFrbh"
374,@m_pattison the bear in The Revenant?
375,@AntBit The Revenant renders all previous DiCaprio performances irrevenant
376,"‘The Revenant,’ ‘Mad Max,’ ‘The Martian’ top Art Directors Guild Awards https://t.co/AokHaLFf9V https://t.co/MemMAZkc6s"
377,RT @SAGawards: Hugs all around! @LeoDicaprio @RevenantMovie #TheRevenant #sagawards🎭 https://t.co/dxELE1UyNp
378,.@LeoDicaprio wins the #SAGAward for Male Actor in a Leading Role! @RevenantMovie #TheRevenant #sagawards https://t.co/6NCqguDNp8
379,"Happy birthday, Will Poulter! #TheRevenant star turns 23.  https://t.co/JayoLGmfJd https://t.co/OPMJ3I1wsA"
380,Meet the stunt man who played #TheRevenant's terrifying bear: https://t.co/PrpOsR0So8 https://t.co/34ullVBCg3
381,Winter storm Jonas cuts into northeastern #boxoffice; ‘The Revenant’ to top newcomers: https://t.co/fxdjNfMTkl https://t.co/2w8RLeKHml
382,Can #TheRevenant beat back 3 Newcomers to Finally Top Box Office? https://t.co/NT9d0unOnC https://t.co/cP1NTBw9Jm
383,RT @CriticsChoice: Here's to two survivors of film &amp; TV: @RevenantMovie's @LeoDiCaprio and @LastManFOX's @OrvilleIV. #CriticsChoice https:/…
384,"RT @boxofficemojo: '@RideAlong 2' #1, 'Revenant' Holds Strong and #StarWars Crosses $1 Billion Internationally https://t.co/FUPLNNG9ct http…"
385,"#BoxOffice: 'Ride Along 2' shoots for $38 million, topping 'The Revenant,' 'Star Wars' https://t.co/mQ1DWIbXMa https://t.co/2CBB7qkUPk"
386,'Ride Along 2' and 'Revenant' look to remove 'Star Wars' from its perch: https://t.co/U8O9LivYQM https://t.co/TOHe7ufExi
387,"#TheRevenant, #MadMaxFuryRoad, and #TheMartian are among the top nominees. Full list here: https://t.co/jzDLjBZHBC https://t.co/rYsEInWLLK"
388,RT @boxofficemojo: Monday #BoxOffice:  'Revenant' $4M; '#StarWars' $3.1m; 'Daddy's Home' $843k https://t.co/7sq7f0FMb3 https://t.co/8oWx3tL…
389,"Watch ""A Storied History,"" an exclusive featurette on the making of @RevenantMovie.
https://t.co/FqWHkgFBa4"
390,Leonardo DiCaprio comments on pal Jonah Hill's #Revenant bear gag https://t.co/D72jt8gM53 #GoldenGlobes https://t.co/SMnbupNf4G
391,"RT @TheWrap: .@LeoDiCaprio wins at the #GoldenGlobes for Best Actor, Film - Drama for @RevenantMovie https://t.co/e1zkUBbA7i"
392,Best Motion Picture goes to... #TheRevenant https://t.co/N2EjdM1X8W #GoldenGlobes #IMDbGlobes 🏆 https://t.co/rLMDbu2GTc
393,The #GoldenGlobe goes to... Leonardo DiCaprio for @RevenantMovie #IMDbGlobes https://t.co/oFQRkLzrBV
394,The winner is... Alejandro González Iñárritu for @RevenantMovie https://t.co/jsTrjYxnxG #GoldenGlobes #IMDbGlobes https://t.co/jaHEpc29cQ
395,"Tune in to @FXNetworks tonight at 11 PM for #TheRevenant: A World Unseen, an exclusive documentary event! https://t.co/SpmLKl8i49"
396,"#BoxOffice: 'The Revenant' chases $37 million, likely topping #ForceAwakens https://t.co/iGISXpjVF9 https://t.co/hCZUeifuez"
397,RT @boxofficemojo: Friday #BoxOffice Estimates: 'Revenant' $14.4M; '#StarWars' $10.7m; 'The Forest' $4.9m https://t.co/5sgAOSz610 https://t…
398,RT @boxofficemojo: Forecast: '#StarWars' Opens in China; @RevenantMovie &amp; @TheForestisReal Make Domestic Bows https://t.co/Hso6LObFWU https…
399,".@IMDb on the Street hits the urban frontier to ask questions about adventure and survival. #TheRevenant
https://t.co/UyWqWu14oF"
400,"IMDb​ hits the urban frontier to ask questions about adventure and survival. #TheRevenant
https://t.co/U9Jnei4s7T"
401,'Hateful Eight' and 'The Revenant' duel in limited release Xmas weekend: https://t.co/xWi0pmSPsG https://t.co/lCOFPDGWZu
402,Why 'The Revenant' was not eligible to compete for the Oscar for Original Score: https://t.co/RV9Qts8Otn https://t.co/HRUVf4Xlqn
403,Get a closer look at @RevenantMovie by checking out stills from the film: https://t.co/uUWB4ZBUGg https://t.co/vTgGpQd1B0
404,"""Carol,"" ""The Big Short,"" and ""The Revenant"" lead #GoldenGlobes nominations. Full list: https://t.co/aVKZc0yLNX https://t.co/B5xiDdI8Ik"
405,Will Leonardo DiCaprio ('The Revenant') overtake Michael Fassbender ('Steve Jobs')? #Oscars https://t.co/dwIVhepZuU https://t.co/ZFTVKIXmYh
406,The latest trailer for #TheRevenant is here: http://t.co/Ke7CI38zMK http://t.co/ruMmkwGAEJ
407,RT @SteadiOp: WATCH: Becoming ‘The Revenant’ https://t.co/y63leSeCEl
408,WATCH: Becoming 'The Revenant' featurette and mini film review. https://t.co/jYoPtU9Zbh https://t.co/2HwGlwISK7
409,.@ARRIRental celebrate the first year of the ALEXA 65 https://t.co/Nwgis7w6sn #TheRevenant https://t.co/xeSQ0BZAP4
410,Ryuichi Sakamoto to score The Revenant https://t.co/I9SPgJWiyJ https://t.co/1UeI94wCXC
411,"How Leonardo DiCaprio's 'The Revenant' Shoot Became 'A Living Hell' (Crew defections, brutal cold...and...) http://t.co/M17gtSbPJF via @thr"
412,"Alejandro G. Inarritu wins best feature film for ""The Revenant"" #DGAAwards https://t.co/iwvBZT38cK https://t.co/uGiFw9OHir"
413,#TheRevenant's production designer reveals challenges of working outdoors https://t.co/m7xzs5N03D https://t.co/qtZQc1WQe3
414,#StarWars and #TheRevenant rule Visual Effects Awards https://t.co/hnxFrJWtBE https://t.co/fWOcVZvO94
415,"#TheRevenant, #StarWars out-shine #MadMax at Visual Effects Society awards https://t.co/hnxFrJWtBE https://t.co/NFvI3bObK7"
416,".@RevenantMovie, @MadMaxMovie and @MartianMovie topped the Art Directors Guild Awards. https://t.co/947T3h3ThR https://t.co/9BxxV0U8TT"
417,".@RevenantMovie, @MadMaxMovie and @MartianMovie top the Art Directors Guild Awards. https://t.co/947T3h3ThR https://t.co/SzgnC89eQ5"
418,"#TheRevenant, #MadMax and #GameOfThrones top Art Directors Guild Awards https://t.co/ShutgPQ72i https://t.co/gNf0txHNry"
419,"#SAGAwards: Leonardo DiCaprio wins lead actor in a film for ""The Revenant"" https://t.co/UKKTj8I0yc https://t.co/uuJuXSa4Oi"
420,#TheRevenant cinematographer Emmanuel Lubezki remembers his first Oscar nom https://t.co/CenXer3pqG https://t.co/IYsMiJAEhW
421,#TheRevenant cinematographer Emmanuel Lubezki remembers his first Oscar nomination https://t.co/CenXer3pqG https://t.co/N4xRh8LzxO
422,"#TheRevenant, #StarWars up for top sound editing honors https://t.co/lIC8juSLDA https://t.co/cEAoQ2rn63"
423,"#GameOfThrones, #TheRevenant, #StarWars lead MPSE’s Golden Reel nominations https://t.co/lIC8juSLDA https://t.co/3gfoTXljQX"
424,.@RevenantMovie ruled the Korean box office https://t.co/9hLta9fJ8q https://t.co/g5GYG3AwVH
425,.@RevenantMovie ruled the Korean box office https://t.co/9hLta9fJ8q https://t.co/Pr1kkSYXsA
426,#TheRevenant tops Korean box office as admissions freeze https://t.co/PNfs9klzzg https://t.co/3IakTDX4DE
427,#TheRevenant topped a chilly U.S. box office this weekend https://t.co/YY8l6tUCDv https://t.co/FGqslTEtvd
428,#TheRevenant topped the international box office this weekend https://t.co/zqnNYRkPyI https://t.co/ihrBvVDKrr
429,#TheRevenant tops international box office https://t.co/zqnNYRkPyI https://t.co/j2Y8lBAtzT
430,‘The Revenant’ Tops Chilly U.S. Box Office as Storm Hits East Coast https://t.co/YY8l6tUCDv
431,#TheRevenant to top storm-ridden box office https://t.co/LJ2VIujzQS https://t.co/VCYCJWQ6QT
432,"RT @Variety_DMcNary: ""Women's snow boots don't work so I had to get men's"" - Mary Parent, a producer on ""The Revenant"" at PGA Awards https:…"
433,RT @Variety_DMcNary: 'You make discoveries in the process that make the film better' - Alejandro G. Inarritu on shooting 'The Revenant' chr…
434,"Box Office: #TheRevenant expected to top #DirtyGrandpa, #RideAlong2 over frosty weekend https://t.co/LJ2VIujzQS https://t.co/WGCmmkciFV"
435,#TheRevenant to top newcomers at stormy box office https://t.co/WRMF6tMSTV https://t.co/9PSYS0w8IJ
436,"#TheRevenant could edge out #RideAlong2, newcomers at chilly box office https://t.co/WRMF6tMSTV https://t.co/vxQ4GphuWl"
437,"#RideAlong2 and #TheRevenant will beat ""Star Wars"" again this weekend https://t.co/KshaBowxDo https://t.co/A1hJ4ot213"
438,Q&amp;A: Why @LeoDiCaprio was excited to work in silence on #TheRevenant https://t.co/AvY3iuZMie https://t.co/oJQotWN8h3
439,#RideAlong2 and #TheRevenant to fend off #StarWars and three newcomers at the box office https://t.co/FLlRwgmd03 https://t.co/i5OdBRjqf0
440,"Box office: #RideAlong2 sped past ""The Revenant"" and ""Star Wars"" this weekend https://t.co/Gj9SU5kKFZ https://t.co/cLH8jMJeEX"
441,"Box office: #RideAlong2 speeding past ""The Revenant,"" ""Star Wars"" over Holiday weekend https://t.co/Gj9SU539Or https://t.co/lWuujxp1wi"
442,"Leonardo DiCaprio wins best actor for ""The Revenant"" #CriticsChoice https://t.co/OMahcsashc https://t.co/B6Ih7aQKWF"
443,"Box Office: #RideAlong2 shoots for $38 million, topping #TheRevenant, #StarWars https://t.co/WZmfwxCILJ https://t.co/uf7wRirgGl"
444,"#RideAlong2 tops #TheRevenant, #StarWars at Friday box office https://t.co/WZmfwxCILJ https://t.co/g9Xq5h3wJo"
445,"Box Office: #RideAlong2 shoots for $38 million, topping #TheRevenant, #StarWars https://t.co/WZmfwxCILJ https://t.co/h6BDxnR9Hl"
446,"#RideAlong2 to top #TheRevenant, #StarWars at holiday box office https://t.co/WZmfwxCILJ https://t.co/3zBdCFyeWN"
447,"Box Office: #RideAlong2 shoots for $38 million, topping #TheRevenant, #StarWars https://t.co/WZmfwxCILJ https://t.co/0xA3LhZxqi"
448,'The Revenant' and 'Room's' #OscarNoms could lead to box office boosts https://t.co/IENkID4H4q https://t.co/kssrZOVRR5
449,"Fox boss Jim Gianopulos celebrates #TheRevenant’s Oscar nom lead, laments Ridley Scott dis https://t.co/aY565cBq6t https://t.co/7K278if6Ms"
450,Leonardo DiCaprio reacts to his Oscar nomination for 'The Revenant' https://t.co/3OywDAAR0v https://t.co/DgMTPtnzGD
451,#TheRevenant and #MadMax dominate Oscar nominations https://t.co/guOJjBiX9a https://t.co/ss1SNgVkcU
452,"Oscars: 'The Revenant,' 'Room' could see biggest box office gains https://t.co/qParPqdBd5 https://t.co/jENaMFq2Aj"
453,Oscar leaderboard: #TheRevenant and its studio 20th Century Fox top list of nominees https://t.co/HC8NgQ0Lwl https://t.co/c76xU1HLg4
454,"#OacarNoms: Best picture (continued)
“The Martian”
“The Revenant”
“Room”
“Spotlight”
https://t.co/m3bX7oI1Ni https://t.co/REsUHg7Mu1"
455,RT @kristapley: Spotlight vs. The Revenant the likely best picture battle now. Spotlight came back strong. Six nominations.
456,"'The Revenant,' 'Mad Max' lead Oscar nominations https://t.co/guOJjBAyxK https://t.co/EsEaxwJhqa"
457,"Best Picture
The Big Short
Bridge of Spies
Brooklyn
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight 
#OscarNoms"
458,"Best Directing:
The Big Short
Mad Max: Fury Road
The Revenant
Room
Spotlight 
#OscarNoms"
459,"Production Design:
Bridge of Spies
The Danish Girl
Mad Max
The Martian
The Revenant
#OscarNoms"
460,"Best Make-Up/Hairstyling - Mad Max: Fury Road, The 100-Year Old Man Who Climbed Out A Window And Disappeared, The Revenant #OscarNoms"
461,"Best Costume Design - Carol, Cinderella, The Danish Girl, Mad Max: Fury Road, The Revenant #OscarNoms"
462,"Best Cinematography - Carol, The Hateful Eight, Fury Road, The Revenant, Sicario #OscarNoms"
463,"#TheRevenant: Behind Emmanuel Lubezki's ""terrifying"" approach to cinematography https://t.co/HffranDa42 https://t.co/wLSXtEfYHb"
464,RT @gkilday: DGA Award for best film director goes to Revenant
465,"RT @CGinLA: 'The Revenant,' 'Scandal' Camera Operators Receive SOC Honors https://t.co/1x98a9dZcI via @thr"
466,"'The Revenant,' 'Scandal' Camera Operators Receive SOC Honors https://t.co/4VzCMxb2Ix https://t.co/cXZyBGGV8T"
467,RT @CGinLA: #AnnieAwards  The Revenant's Bear wins the award for character animation in a live action production
468,RT @PamelaDayM: Leonardo DiCaprio's #TheRevenant crosses $300M globally. A bear of a number https://t.co/E9eWn7dAi2
469,Annie Awards preview: From 'Inside Out' to 'The Revenant' Bear https://t.co/1T02IiWIDw https://t.co/9Ui8okJRCD
470,How 'The Revenant's' VFX team brought that bear to life https://t.co/KYcB6Jrbn6 https://t.co/Wx3C4Ay0OX
471,"RT @PamelaDayM: #TheForceAwakens wins most awards for visual effects but @RevenantMovie not far behind. Yes, the bear strikes again. https:…"
472,RT @CGinLA: #VESAwards The Revenant's Bear wins Outstanding Animated Performance
473,"#VESAwards Winners List (Updating Live): #StarWars wins three awards, #TheRevenant collects two https://t.co/y8NRp1xuXN"
