,Carol
241,"Suffice to say, Carol, Max, Saul and Amy are all in there: https://t.co/DfTKgsaBJe"
242,Congratulations to @_CarolMorley on her @wellcometrust Screenwriting Fellowship...
243,"Lovely @philharmonia concert w #Dohnanyi @southbankcentre tonight. Schubert 9 great, but my highlight Berg violin concerto w Carolin Widmann"
244,My #Cannes2015 top films. 1 The Assassin 2 One Floor Below 3 Mia Madre 4 The Measure of the Man 5= Carol &amp; Son of Saul.
245,And the award goes to Edward Lachman for the cinematography for Carol
246,Carol #londoncritics
247,Actress of the Year - Cate Blanchett - Carol; Brie Larson - Room; Rooney Mara - Carol...
248,Emma Donoghue - Room; Nick Hornby - Brooklyn; Phyllis Nagy - Carol; Josh Singer &amp; Tom McCarthy - Spotlight; Aaron Sorkin - Steve Jobs
249,Andrew Haigh - 45 Years; Todd Haynes - Carol; Alejandro G Inarritu - The Revenant...
250,Carol for cinematography; Carol for music; Cinderella for costumes; Ex Machina for visual effects...
251,"""it's about creating this experience that's rich"" Director Carol orley talks to Lisa Jenkins about The Falling http://t.co/Y555aWrJUD"
252,"""it's important to know the world"" Director Carol Morley on new film The Falling @thequietus http://t.co/Y555aWrJUD"
253,Director Carol Morley talks about her experiences making The Falling @thequietus http://t.co/Y555aWrJUD
254,"""It also felt really powerful and amazing to have such a crew"" Carol Morley on The Falling @thequietus http://t.co/Y555aWrJUD"
255,"""if you can tell a story, you can be in a film"" Carol Morley talks The Falling @thequietus http://t.co/Y555aWrJUD"
256,"""I was really interested in a female landscape"" Carol Morley on her dreamlike new film The Falling @thequietus http://t.co/Y555aWrJUD"
257,""" a kind of pressure of changes"" Carol Morley talks The Falling @thequietus http://t.co/Y555aWrJUD"
258,"""I thought it would be really interesting to look at female adolescent sexuality"" Carol Morley on The Falling http://t.co/Y555aWrJUD"
259,"""I wanted to look at how mysterious these episodes are"" director Carol Morley on The Falling @thequietus http://t.co/Y555aWrJUD"
260,""" I became interested in this phenomenon called psychogenic illness"" Carol Morley on The Falling http://t.co/Y555aWrJUD"
261,Lisa Jenkins meets up with director Carol Morley to discuss her new film The Falling @thequietus http://t.co/Y555aWrJUD
262,Kip Follows: Carol Morley On The Falling @thequietus http://t.co/Y555aWrJUD
263,"@danielnyari Hi Daniel. I did my top 5 in @SightSoundmag Many thanks. hadn't, then, seen Carol."
264,"""We aren't ugly people."" Despite huge expectation, Carol thrilled me: a heartbreaking world of windows, shadows, inching cinematography."
265,"Maybe I shouldn't see Carol tomorrow. Maybe I should let expectation subside, and see it next year? Or in ten years' time."
266,"Seeing film Carol tomorrow. It has had so much love from critics, I wonder can I see it with my own eyes and without too much expectation?"
267,"@_CarolMorley @tracey_thorn and everyone on @TheFalling_Film, thanks for a brilliant, trembly, moving, swoony, sensual, suggestive film."
268,RT @_CarolMorley: Thank you to all you Tweeters &amp; Fallers for  fab support! Let's get @TheFalling_Film as contagious as the school girls in…
269,"My ""Carol"" review in the winter issue of @Cineaste_Mag https://t.co/cKgpXZW0fj"
270,"SXSW fest preview - promising music docs notably ""Marley"" + Carol Morley's ""Dreams of a Life"" & Lena Dunham's ""Girls"" http://t.co/6CeX0oAx"
271,"Strongest category: 
Carol, Ed Lachman
Mad Max: Fury Road John Seale
Sicario Roger Deakins
Hateful Eight Robert Richardson
Revenant, Chivo"
272,"My 2016 moviewatching has been immersed in paranoia, intolerance &amp; repression (idealism/courage/love): Bridge of Spies, Trumbo &amp; Carol"
273,EXCLUSIVE: Keira Knightley will star in biopic Colette from Carol and Still Alice teams: https://t.co/XDMbClB8wM https://t.co/OHWre4xjBE
274,"BREAKING: Bridge of Spies and Carol lead 2016 BAFTA nominations with nine each. The Revenant gets eight, Mad Max: Fury Road has seven #bafta"
275,"2016 #BAFTA nominees for Best Film:
The Big Short
Bridge of Spies
Carol
The Revenant
Spotlight"
276,Picturehouse to wrap your presents for you while you watch Carol: https://t.co/A4Ui4dWDiS. Nice stunt.
277,Elizabeth Banks to star as pioneering war photographer Caroline Baker: https://t.co/XT1LmTV7G6 Nice AFM EXCLU via @JKmovies
278,"First trailer for Todd Haynes' Carol, starring Cate Blanchett and Rooney Mara. UK premiere set for London Film Fest: http://t.co/cCjGloPvE4"
279,"EXCLUSIVE: Carol director Todd Haynes is Wonderstruck by book from Hugo writer, talks new TV series: http://t.co/QAxmZitrmJ With @JKmovies"
280,"Carol and Cate Blanchett are getting raves at #Cannes2015. ""Stately, evocative and exquisitely sad"" per @TimGrierson for @Screendaily #Carol"
281,Don't get tired of watching early Macbeth and Carol footage. Both look absolutely stunning. Can't wait.
282,"Just seen some fantastic footage of Carol, Hands of Stone, No Escape and Lion at TWC's #Cannes2015 showreel event..."
283,"Congrats @film4 whose Youth, Macbeth, The Lobster and Carol are in #Cannes comp. They're probably the four I'm most looking forward to."
284,"Most excited to see at Cannes (so far): Youth, Macbeth, The Lobster, Carol, Sea of Trees and The Tale of Tales. #Cannes"
285,"Appalled that Carol is not among best films #OscarNoms, nor Haynes as dir. Both those noms also missing for Far from Heaven in '02. Nuts."
286,"The spies are fun this week, but the gals are the real deal. My review of the glorious Carol. https://t.co/yGSgJMMFYy"
287,Carol #LFF2015. Simply glorious.
288,RT @PaulyCarolan: @KermodeMovie @wittertainment https://t.co/BQih91IfGi
289,"Today's films were Todd Haynes' Carol, Ratter, Paul Sorrentino's Youth and Guillermo del Toro's Crimson Peak. #LFF and beyond."
290,@girlnerd84 @ScottFilmCritic @MetroUK Wait. The person who runs the sanctuary is called Carolyn Screech? Fr reals?
291,@ifancykitkat Fanny Walker (she's on Facebook); Caroline Bird (http://t.co/jSkX4DPyWh; publishers Carcanet)
292,I think Sidse Babbett Knudsen in The Duke of Burgundy deserved all the acting award nominations Cate Blanchett got for Carol.
293,"RT @CarolineAuthor: #kildareReadersFest2015 Things that go bump in the night...with @AnnoDracula and @splinister 
https://t.co/y0hS3YvhcD"
294,RT @JournoCD: @Caroleoreilly @GuardianArchive @willthewordguy love how train times dictate press times -  in the 18th century it was the st…
295,"@Caroleoreilly @GuardianEduCent Thanks Carole, not sure what happened there!"
296,RT @Caroleoreilly: Just realised today what a treasure trove the @GuardianArchive @TheJohnRylands is for my research #presshistory
297,@BethKWebb @catherinebray Is that Bob Carolgees in the white shirt?
298,Just been to see Stephen Woolley for tonight's @BBCFreeThinking. Talk of Carol's Oscar nominations gave way to eulogies for Alan Rickman.
299,Rooney Mara ICarol) and Emmanuelle Bercot (Mon Roi) share Best Actress #Cannes2015
300,"RT @SightSoundmag: #Cannes2015 | #Carol sees Todd Haynes revisit 50s repression with a prime candidate for Palme d'Or, says @IsStevens http…"
301,Here's @_CarolMorley writing about the influences that went into THE FALLING http://t.co/NCbWTjOZc0
302,RT @BFI: Congratulations to @_CarolMorley!  The Falling is in competition at Beijing Film Festival http://t.co/LBVGyuDcIK http://t.co/KjoTB…
303,Thanks to @AmmaAsante @_CarolMorley @lizziefrancke and @indiewendy for being a brilliant Britfilm innovations panel. They were all so lovely
304,Hold Easter until after our Innovation in British Film Panel: @_CarolMorley @AmmaAsante @lizziefrancke and @indiewendy 6.30pm NFT3 tomorrow
305,The panel event I've just tweeted includes @_CarolMorley @indiewendy @lizziefrancke myself and we may have an extra surprise guest too
306,"Not to leave out Lisa-Marie Russo, @cliobarnard @_CarolMorley Joanna Hogg, to all of whom maximum respect #womeninfilm"
307,"RT @lorrainecink: ""Captain Marvel has gone by many names...this character's name is Carol Danvers"" #MarvelEvent"
308,"RT @ThePlaylist: Listen: Todd Haynes Talks His Upcoming 'Carol,' 'Velvet Goldmine' &amp; More In 80-Minute Podcast
http://t.co/kuVRnTeXb7 http:…"
309,"Congratulations to Carol Morley, winner of the 2015 Wellcome Trust Screenwriting Fellowship. Great speech, too."
310,"@AxelleCarolyn @ShakedBerenson Thanks. Just checked, it's on iTunes. I will be watching before the month's out."
311,@AxelleCarolyn What kind of release is it getting in the UK?
312,RT @jackthorne: Know I'm the millionth person to share Jon Stewart talking about South Carolina- but it's sensational in all senses- https:…
313,RT @CarolineNorbury: Creative England has launched its new shorts scheme details here http://t.co/8lzuXFQRe7
314,RT @HeleneDore: @mel_goodfellow @cahierscinema agree too ! But especially liked process and confrontation of images for Carol Book. Grippin…
315,Le n° de février vient de sortir mais celui de janvier (Films les plus attendus/Carol) est en kiosque encore un mois https://t.co/MWwRDnHqyX
316,RT @HeleneDore: Passionnant numéro des @cahierscinema révélant le Carol Book de #ToddHaynes. En dit long sur l'art de réaliser. https://t.c…
317,"RT @baladesauvage: #Carol ou une leçon de mise en scène pour faire naître le désir. Pour le reste, il y a 20 pages dans @cahierscinema.
htt…"
318,RT @Rom1Salomon: Merci les @cahierscinema pour ce dossier sur le film #Carol de #ToddHaynes ! Direction @mk2Cinema Quai de Loire https://t.…
319,"RT @citroncool: je viens de lire tout le dossier des cahiers sur Carol de Todd Haynes et c'est super intéressant, allez voir ce film vraime…"
320,"Rappel: le ""Carol Image Book"" est un document personnel de #ToddHaynes. Il n'en existe qu'un exemplaire, le sien,et il n'est pas à vendre..."
321,"20 pages sur #Carol dans les Cahiers de janvier, avec six pages du magnifique Carol Image Book créé par #ToddHaynes https://t.co/uFJAvvhcp2"
322,RT @blogorom: très envie de voir Carol après lecture des @cahierscinema
323,@heavier_things Hope you like it.  I'll finally be getting to Carol this weekend hopefully.
324,"RT @heavier_things: To celebrate the release of Carol, I wrote a guide to the films of Todd Haynes for @BFI. https://t.co/7ARTeQsUXs https:…"
325,".@_CarolMorley on Sweetie, If..., Picnic at Hanging Rock, The Devils and other great films that inspired The Falling http://t.co/YhrTjVtIPD"
326,@Eaterofsun An Oscar list where Carol is omitted from Best Pic and Haynes from Best Dir is pretty much worthless I fear.
327,"@chrisdtz Cool! Of the few I've seen I'd recommend The Club, Tangerine, Carol. Heard good things about Hitchock/ Truffaut and the Greenaway."
328,""" hi I'm here for the screening ""
""Carol?""
"" no, Ryan ""
A true story that happened tonight :("
329,'Carol' is both subtle &amp; sinuous handled masterfully by Blanchett &amp; the quietly impressive Mara https://t.co/K1cF97Nxk5
330,I feel incredibly privileged to interview @RealRonHoward tonight at @GuilfordCollege in North Carolina http://t.co/5b6gxrL7dK
331,"""I barely even know what to order for lu -- "" [killed by arrow] #VersionsOfCarolThatWouldGetNominatedForBestPicture #Oscars"
332,"""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPicture #Oscars"
333,"We've been down this road before, alas. #Oscars #Carol https://t.co/eBGRb2pR5Z"
334,"RT @MarkHarrisNYC: ...AND just like that, the Producers Guild of America omits Carol and Room from its ten nominees. Bad call, guys (and I …"
335,RT @SamuelAAdams: A thought on Best Picture: Carol is too good for the Academy. Spotlight is just exactly the right amount of good.
336,"Caroling, Caroling, here we go ... #NYFCC"
337,"RT @olilyttelton: No Carol, no Hateful Eight: please spare a thought for Harvey Weinstein's assistant right now."
338,"Seeing the film that beat The Assassin, Carol, Mountains May Depart and Son of Saul to last year's Palme d'Or tonight. Best of luck."
339,"So, no Carol (Best Pic), no Haynes (Best Dir) and no Tarantino (Best Ori). But Rampling (Best Actr) and The Look of Silence (Best Doc)."
340,"""The Big Short Carol"" https://t.co/ETtMBAl5Z8"
341,"Best Picture predictions: Big Short, Bridge of Spies, Brooklyn, Carol, Fury Road, Inside Out, The Martian, The Revenant, Spotlight."
342,"""Compliments of the season from the management."" Rewatching Carol."
343,"@DirRobSavage Saul, Club, Carol, Dinosaur, Assassin, Syrian, Spotlight, Room and Lobster."
344,@EmptyScreens Carol.
345,"Pleased to confirm that Far from Heaven, Carol's gloriously histrionic forebear, still holds up."
346,In the last two days I've seen Carol and Suffragette. Not all films are created equal.
347,"Still none the wiser on the price of salt, sadly, but boutique dolls just $8! #Carol"
348,"And the Academy Award for Best Pyjama Design goes to...Sandy Powell, Carol."
349,"Black Mass, Bridge of Spies, Carol *and* The Good Dinosaur are all currently scheduled for UK release on 27 November. Surely not?"
350,"#LFF Hitlist: High-Rise, Carol, The Assassin, Cemetry of Splendour, Son of Saul, The Club, The Pearl Button, Francofonia, Hitchcock/Truffaut"
351,"OH as people walking out of (I assume) a screening of Carol: ""I just want to be Therese…"""
352,@Phil_on_Film I don't think Carol and FFH are necessarily playing the same game. Plus. not being moved is your problem.
353,@JWGarriock People who love Carol: Ranked
354,Happy Carol day for tomorrow America! https://t.co/VNAsIHvV7m https://t.co/cquzqqAIGM
355,The Carol issue – available for pre-order here: https://t.co/APhrDVEXSA https://t.co/xXIieYpuo2
356,s/o to @DionisioJen – loved her illos in the Carol issue of LWLies. The Terence Davies one esp...
357,#BoycottCarol
358,@GuyLodge @robbiereviews That's what they eat in Carol.
359,"IMO... Palme: The Assassin, GP: Carol, Actress: Zhao Tao, Actor: Rohrig, Dir: Garrone, Script: Louder Than Bombs, Jury: The Lobster."
360,"RT @LWLies: Oh, did we mention that Todd Haynes' Carol is amazing? If not… http://t.co/hObFGWHL7f http://t.co/ROK691fRAf"
361,RT @LWLies: Todd Haynes returns with melancholic heartbreaker Carol. Our Cannes rave: http://t.co/hObFGWHL7f http://t.co/2eKJkqrjKL
362,"Re. Carol, contains one of the all-time great screen examples of a character saying, ""I love you."""
363,"Cool It Carol is next, Sat 15 @BarbicanCentre @CigaretteBurns_"
364,RT @zak_bond: .@CarolineLucas On BBC Question Time tonight from 2235  https://t.co/7BszmmffpV
365,RT @CarolineLucas: Progressives must work together to stop this Government in its tracks: http://t.co/Jf7j03rllR
366,"RT @EmmaDixon_Green: So - as of now we have a tory govt….  If you need cheering up, watch @CarolineLucas's acceptance speech here :) http:/…"
367,RT @ChazEbert: Video interview of #CateBlanchett #RooneyMara &amp;  #ToddHaynes  re #Carol by @KatherineTulich: https://t.co/G0qePGpG3Y https:/…
368,@CarolynWillitts It's very very good.
369,@CarolynWillitts PARTY
370,@CarolynWillitts SOEXCITED
371,@CarolynWillitts Innit! Massive pain in the arse but so worth the trouble.
372,RT @CarolynWillitts: @LettersOfNote it's amaaaaaaaazing http://t.co/COnZ2ztDMb
373,@CarolynWillitts YESSSSS
374,It seemed like a good idea at the time – Dickensian one-man opera #AChristmasCarol @WNOtweet https://t.co/VHyZoyUtjV https://t.co/jRPhMkwnxB
375,"⭐⭐⭐⭐ #JimBroadbent's Scrooge owns the show #AChristmasCarol, Noël Coward Theatre @DMTWestEnd https://t.co/zn5FfMchTO https://t.co/0DGOPWULS5"
376,It's a classic – @dem2112 is blown away by epic #ToddHaynes romance #Carol ***** https://t.co/twAPyYFwbY https://t.co/zNiEOwP7RG
377,"TECHNICAL ACHIEVEMENT AWARD: Ed Lachman, cinematography, ""Carol"" #LondonCritics"
378,Tonight: @LondonCritics Awards @TheMayFairHotel. What's our film of 2015? Carol? Mad Max? 45 Years? Nominees here: https://t.co/36HFi3rwGp
379,"RT @JustinCChang: ""I barely even know what to order for lunch."" ""How about RAW BISON LIVER?"" #VersionsOfCarolThatWouldGetNominatedForBestPi…"
380,"RT @PhyllisNagy: 4 female screenwriter noms; 6 noms overall for Carol... let's celebrate that, please. Progress always comes in fits and st…"
381,"Time for another poll: you knew this was coming. What was today's most egregious Oscar snub? (BESIDES Carol, duh.)"
382,"RT @JustinCChang: We've been down this road before, alas. #Oscars #Carol https://t.co/eBGRb2pR5Z"
383,"RT @CasparSalmon: Oscar best film predictions: Cemetery of Splendour, Carol, Mia Madre, Eastern Boys and Arabian Nights. Mia Madre to win."
384,"BEST PICTURE 
The Big Short 
Bridge of Spies
Brooklyn
Carol
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight

(if 10: Inside Out)"
385,"BEST ACTRESS
Cate Blanchett, Carol
Brie Larson, Room
Charlotte Rampling, 45 Years
Saoirse Ronan, Brooklyn
Alicia Vikander, The Danish Girl"
386,"BEST SUPPORTING ACTRESS
Joan Allen, Room
Rooney Mara, Carol
Alicia Vikander, Ex Machina
Julie Walters, Brooklyn
Kate Winslet, Steve Jobs"
387,"BEST ADAPTED SCREENPLAY
Anomalisa
The Big Short
Brooklyn
Carol  
Room"
388,"BEST CINEMATOGRAPHY
Carol  
The Hateful Eight 
Mad Max: Fury Road
The Revenant
Sicario"
389,"BEST COSTUME DESIGN
Brooklyn
Carol 
Cinderella
The Danish Girl
Far From the Madding Crowd"
390,"BEST ORIGINAL SCORE
Carol 
The Danish Girl
The Hateful Eight
Sicario
Star Wars: The Force Awakens"
391,"@_rosagrimm @middleclassprob No, it's Carol life. Or should be."
392,"@FilmFanatic85 I like Brooklyn very much, but as filmmaking, I think Carol is on a different plane. One of my two favourite films of 2015."
393,"BEST PICTURE (Drama)
Will win: Spotlight
Should win: Carol 
Should tie with Carol because oh my god why choose between them: 45 Years"
394,"BEST DIRECTOR
Will win: George Miller, Mad Max: Fury Road
Should win: Todd Haynes, Carol"
395,"BEST ACTRESS (Drama)
Will win: Saoirse Ronan, Brooklyn
Should win: Rooney Mara, Carol 
Should *really* win: Charlotte Rampling, duh"
396,"BEST ORIGINAL SCORE
Will and should win: Carter Burwell, Carol"
397,"@Miss_Madley Given that he's been the most vocal champion of Carol in the critical community, I think he likes women just fine."
398,"@awards_watch @NicksFlickPicks @joafrcaetano I'd rather Carol was there too, but Ex Machina's a daring and stimulating choice for the PGA."
399,@davidehrlich @daveyjenkins I'm surprised you're turning a blind eye to the non-inclusion of Carol.
400,@misterpatches It's true that Carol does not belong in the same category as Happiness. He's got us there.
401,"It's a shame CAROL isn't set seven years later, when this could be the record Therese gives Carol for Christmas. https://t.co/sb2hK5VY2G"
402,"@ben1283 Carol: ""ONE train set, please. Just one!"""
403,@kateyrich J. Crew could make a real killing with The Carol Collection. Limited edition only.
404,"@Glenn__Kenny @SamuelAAdams If you promise to put Carol at #1 on your list, does Todd Haynes send you private on-set photos?"
405,@Glenn__Kenny @SamuelAAdams A friend who works for the UK distributor gave me a Carol tote bag. I didn't realise I was being bribed.
406,"@SzczesnyOnTour Carol, Arabian Nights, The Lobster, The Treasure, Disorder, My Golden Days, Macbeth, Mad Max..."
407,"Best Film: Amy, Carol, 45 Years, Inside Out, Look of Silence, Mad Max: Fury Road, The Martian, The Revenant, Room, Spotlight. @londoncritics"
408,"@davidehrlich One acting win, David. Much as I love Rooney Mara in Carol, I don't want to see her win in the wrong category."
409,What if Ross Geller and Harge Aird were the same person? The Carol connection — it checks out.
410,"RT @lauracompton: RT @peterhartlaub: No need to turn on TV. Getting my #GoldenGlobes red carpet coverage from @CarolyneZinko, @TonyBravoSF …"
411,@PaulRidd @charlielyne @CasparSalmon @SiRenshaw She could not have played Cate Blanchett's Carol. We will only give you that.
412,"@Adeline1981 @CarolMovie Gosh, so do I!"
413,"Saoirse Ronan in BROOKLYN: um, weird shades of Martine Carol in LOLA MONTÈS? https://t.co/eQKw5rBqMA"
414,@grace302 @CarolMovie Thank you Grace!
415,"Carol Exclusive Preview Screening at Regent Street Cinema, London https://t.co/RFrC8wD4a9"
416,"*as enormous, maybe?
Fruit, twice?
What fruit? Pick a fruit, Joyce Carol Oates!
Comma after ""faint"" is non-grammar https://t.co/WKd9cV2Uzo"
417,"RT @NicksFlickPicks: Carol (15, A): An icepick. An atomizer. A rose. I've never seen 1950s queer desire depicted as such a braid of frankne…"
418,RT @Cureditor: Patricia Highsmith’s cinematic legacy and new film Carol’s place in it (@FilmComment) https://t.co/zZHCbCkdKg https://t.co/I…
419,RT @WilliamBibbiani: Fantastic essay about the many adaptations of a fantastic author. #Carol https://t.co/DMsMYdWUNm
420,"Amy Taubin: @CarolMovie exists ""in that electric, elastic, heart-stopping/heart-racing present of romantic desire"" https://t.co/1dq8H7Pi63"
421,RT @CarolMovieFans: Todd Haynes discusses CAROL &amp; the satisfactions of telling women’s stories via @FilmComment https://t.co/RbU0xfxbne htt…
422,"Italian power agent Carol Levi dies at 79: Ten percenter repped Anna Magnani, Sergio Leone, Bernardo Bertolucci http://t.co/gbCm5O1M"
423,"Axelle Carolyn, Neil Marshall set 'Soulmate': Film News: 
            Sterling, Witching Hour, Screen Projex beh... http://t.co/rSL8bA9T"
424,"RT @Nonohnoh: @indiewendy This made me think of u &amp; not just bc ""Mitchells had been active in North Carolina since the 1750s""... https://t.…"
425,No Palme d'or for Carol?? That's okay maybe Oscar-bound! #Cannes2015
426,RT @lizziefrancke: Fem power on 2 stages tonight - BFI &amp; ITV. Proud to be with   @AmmaAsante @indiewendy @_CarolMorley.Thanks @filmnickjame…
427,Excited to join esteemed panel of @filmnickjames @_CarolMorley @lizziefrancke to talk about British Cinema on April 2 http://t.co/C9uCRDqpyr
428,"RT @KenJennings: BEST MOVIES OF 2015 THAT ARE ALSO LADIES AT YOUR MOM'S OFFICE
1. Joy
2. Carol
3. Amy"
429,I ravished everyone from Carol https://t.co/VqimR3a8UQ
430,RT @BBW_BFF: beautiful photograph from Jack Lemmon to Walter &amp; Carol Matthau https://t.co/srOjQqz2sB
431,Billie Holiday's Easy Living is all over Carol. Even when watching Awards screeners I can't escape Fallout...
432,@EricDSnider @rejects and only among North Carolina Trump Supporters at that.
433,"I quite liked the Walking Dead season premiere. Missed those crazy guys. Still need more Carol, though."
434,"Best movies of 2015 (ranked by Metascore): 
1-Carol [96] 
2-45 Years [94] 
3-Inside Out [94] 
Full list at https://t.co/CWHXSINuYV"
435,Spotlight cements its lead in the best picture race with new wins from critic groups in North Carolina and Oklahoma: https://t.co/oUCNqKWkUN
436,Spotlight named best pic by SF critics; Carol picked by Toronto critics. Full winners lists + more updates at https://t.co/IrEGVhfwxa #SFFCC
437,"#GoldenGlobes noms for best picture-drama: Carol, Mad Max: Fury Road, The Revenant, Room, Spotlight"
438,2015 Film Awards Scorecard https://t.co/Vx3HEK1POH Carol &amp; Spotlight are tied for the VERY early Best Picture lead.
439,NY Film Critics Circle has named Carol best pic of 2015. Full list of winners in our Film Awards Scorecard: https://t.co/WIn3tiyyNt #NYFCC
440,"Highest-scoring films of 2015: 
1-Anomalisa [98] out 12/30 https://t.co/ChQyIZj2rg 
2-Carol [96] out Fri https://t.co/DIw228kC4H"
441,"Carol [94] https://t.co/3wzV2o9sp1 
Reed: ""Deeply, intensely important ... one of the triumphs of 2015."""
442,"Carol [95] Opens Fri https://t.co/Ud21zwR6MR Telegraph: ""Gorgeous, gently groundbreaking, &amp; might be the saddest thing you’ll ever see."""
443,"Carol [98] Nov 20 http://t.co/Ud21zwR6MR Telegraph: ""Gorgeous, gently groundbreaking, and might be the saddest thing you’ll ever see."""
444,"Film Friday: Watch all of this week's new movie trailers, including The Martian, Carol, Victor Frankenstein &amp; more: http://t.co/cVZWzGk9EN"
445,"Highest-scoring 2015 films so far: 
1-Carol [98] (out Nov. 20) 
2-Inside Out [94]
3-Phoenix [91]
Full list at http://t.co/5L9JNaRvj2"
446,"Score: Bridge of Spies, Carol, Hateful 8, Sicario, Star wars (old school!) #OscarNoms"
447,"Adapted screenplay: Big Short, Brooklyn, Carol, Martian, Room. #OscarNoms C'mon Carol!!!"
448,RT @transmission: So far #Carol has 2 #OscarNoms Best Cinematography &amp; Best Costume Design. #CarolMovie #Oscars2016 https://t.co/cnuJgIA5Dn
449,"RT @BeccaEHarrison: @TimeOutFilm Carol and Star Wars 7 big; Muppets Christmas Carol, Star Wars 4-6, Paddington small"
450,@AxelleCarolyn it's like they don't know X-Files fans at all...
451,"Cate Blanchett and Rooney Mara electrify in Carol - charged, beautiful and heartbreaking. #Cannes2015"
452,"Now suited and booted for tonight's Carol premiere. I really feel, in this heat, #Cannes galas should adopt a beachwear dress code."
453,@_CarolMorley @Maisie_Williams And Florence Pugh is such an astounding discovery. I loved every minute of it. Huge congratulations.
454,.@_CarolMorley sets a masterful tone in the excellent The Falling. That @Maisie_Williams is an exceptional talent.
455,Looking forward to seeing @_CarolMorley's new film at #LFF.
456,Caroline Libresco at the @sundancelabs Producers Brunch: “The creative producer is a filmmaker.” Yes.
457,Todd Haynes’ ‘Carol’ is the Story of a Flâneuse who Gazes Back. Kristen Cochrane at @slutever. https://t.co/HwtRwitD7D
458,"RT @brunopompa: MoMA Film Curator Rajendra Roy On Todd Haynes' Carol &amp; the Future of Queer Cinema @BruceLaBruce
https://t.co/pSGSwMf56X"
459,"RT @ZeitchikLAT: Jarring to see indie Web series like  ""Qraftfish"" and ""Shugs and Fats"" up there with the Spotlights and Carols of the worl…"
460,RT @glebski: We are blind leading the blind...Todd Haynes on Carol. Great read! https://t.co/8bxUybhktU @FilmmakerMag
461,Watch the exquisite final trailer for Todd Haynes’ achingly beautiful “Carol.” https://t.co/yprQwfWuZ4
462,"RT @ALeighclarke: Before watching #CarolMovie in theatres tonight, read this great interview w director Todd Haynes from @FilmmakerMag http…"
463,"“Diary of a Teenage Girl,” “Carol” and “Spotlight” top IFP Gotham Award noms. https://t.co/OlYPe8Kq3a https://t.co/4kE64T9X5B"
464,#Carol won the #GoldenTomato Award for Best Romance Film. Check out all the winners here --&gt; https://t.co/L9MgSEzpsQ https://t.co/vOuRGOMgIY
465,"RT @tumblr: The 7 Most Romantic @CarolMovie GIFs, presented by @RottenTomatoes + Tumblr. https://t.co/qo9PyzByzE https://t.co/2NQJ0YL6xT"
466,"RT @Carolineoncrack: Where to find cocktails named ""Han Shot First"" and ""Wookies &amp; Cream"" this week in LA https://t.co/ZG0Y72FXIE https://t…"
467,Toronto Film Critics Name #CarolMovie Best Film of 2015 ---&gt; https://t.co/BCxbBY3M3Q https://t.co/yQ1mcpIv34
468,#CarolMovie is Certifed Fresh at 96% with 68 reviews ---&gt; https://t.co/JADN4BPC1v    🍅 #Tomatometer @CarolMovie
469,"#RooneyMara &amp; #CateBlanchett at the premiere of #CarolMovie 

More red carpet pix here ---&gt; https://t.co/QZQAEuu9Fl https://t.co/rnEbqN0HRy"
470,#CarolMovie is Certifed Fresh at 95% with 61 reviews ---&gt; https://t.co/K7JJqbFP5z   🍅 #Tomatometer @CarolMovie
471,#CarolMovie is Certifed Fresh at 95% with 56 reviews ---&gt; https://t.co/eZVMs66V1m  🍅 #Tomatometer @CarolMovie
472,#CarolMovie is Certified Fresh at 94% ---&gt; https://t.co/r6jW4uDBID https://t.co/nPodqpvNRi
473,#CarolMovie is currently Fresh at 94% with 50 reviews ---&gt; https://t.co/qeUBQlYLB3 🍅 #Tomatometer @CarolMovie
474,"Favs of '15 🎬: Whiplash, It Follows, 45 Years, Mad Max, Force Majeure, A Girl Walks Home Alone at Night, Star Wars, Ex Machina, Carol."
475,"RT @HadleyFreeman: My favourite fact about The Muppets Christmas Carol is the director, Brian Henson, is married to Sloane from Ferris Buel…"
476,"RT @guardianfilm: Carol, Mad Max and Trainwreck shine in Golden Globes nominations https://t.co/qttOkSgkju"
477,Wow. Carter Burwell's delicately romantic score for Carol. That's my listening sorted from now until the end of time. #CarolMovie
478,"RT @Film4: This just in... Here's the teaser trailer for Carol, starring Cate Blanchett &amp; Rooney Mara! https://t.co/GGF40Toi6d http://t.co/…"
479,RT @OnePerfectShot: THE THIRD MAN (1949) Director of Photography: Robert Krasker | Director: Carol Reed http://t.co/TkFQLjTIpa
480,RT @MartinChilton: Great news: #Deadwood is coming back as a movie from @HBO https://t.co/lPLTHuM6k2 @CarolineLawrenc #HBO https://t.co/GBa…
481,"'Instantly, I love her': the affairs that inspired Carol https://t.co/uJUlKZ9Dcy"
482,Forbidden love: Cate Blanchett and Rooney Mara discuss their relationship in Todd Haynes's beautiful #CarolMovie https://t.co/mxp3Z2lW9G
483,"""Love, in particular for women at this time, is love without an example."" #CarolMovie https://t.co/mxp3Z2lW9G https://t.co/MiclDZ2jva"
484,When Carol met Therese: watch Cate Blanchett and Rooney Mara talk about their screen romance https://t.co/nGYAGqT33f
485,"Happily ever after, at last: Patricia Highsmith on the inspiration for Carol https://t.co/vPoVHpAU9W"
